date,temp_australia
2018-01-31,29.74352867280837
2018-02-28,28.441597649702867
2018-03-31,26.498899214033113
2018-04-30,24.793537113353093
2018-05-31,18.292737499944327
2018-06-30,15.268185502485604
2018-07-31,15.321356947681235
2018-08-31,15.845276128295064
2018-09-30,20.175899375720476
2018-10-31,25.108289764658014
2018-11-30,26.871763132063208
2018-12-31,29.859654122617236
2019-01-31,31.466964746075906
2019-02-28,29.0807050324095
2019-03-31,27.86941824930436
2019-04-30,23.42754637362916
2019-05-31,18.596700663156412
2019-06-30,14.986849401752517
2019-07-31,15.658178399110406
2019-08-31,16.040071714160963
2019-09-30,20.763843965546368
2019-10-31,25.446009254482604
2019-11-30,27.12779698680459
2019-12-31,31.25089168511068
2020-01-31,29.561001440499187
2020-02-29,28.39576097472475
2020-03-31,26.20316355794098
2020-04-30,23.767101677925012
2020-05-31,17.323310056694034
2020-06-30,15.865220878558915
2020-07-31,14.894222064037216
2020-08-31,17.06790277332119
2020-09-30,21.860057908787873
2020-10-31,24.012620237552504
2020-11-30,28.20994519178196
2020-12-31,27.62445741737855
2021-01-31,28.35461079984443
2021-02-28,27.239112074129682
2021-03-31,25.532139664099272
2021-04-30,22.192101350566624
2021-05-31,18.40962670864547
2021-06-30,15.026293509555032
2021-07-31,15.636393518279554
2021-08-31,17.202054683135195
2021-09-30,20.186567470271285
2021-10-31,23.958931486560157
2021-11-30,25.116732940451207
2021-12-31,28.88762763447674
2022-01-31,29.432582443361063
2022-02-28,27.749414391475536
2022-03-31,27.312252342413867
2022-04-30,23.747382766066135
2022-05-31,19.091834894792555
2022-06-30,15.389201560043254
2022-07-31,13.745896029401086
2022-08-31,16.509438243213406
2022-09-30,20.011742700428698
2022-10-31,23.187842718830524
2022-11-30,24.498333959073477
2022-12-31,27.536023974856533
2023-01-31,28.291759575161567
2023-02-28,28.14169752504068
2023-03-31,26.84979180434382
2023-04-30,22.190716851691946
2023-05-31,17.16148793225553
2023-06-30,16.207041946026767
2023-07-31,15.139844722639909
2023-08-31,18.702362241142314
2023-09-30,22.335572390022904
2023-10-31,24.771614023747098
2023-11-30,27.937057972287406
2023-12-31,29.71824148956281
2024-01-31,30.179817391944997
2024-02-29,29.53960903388696
2024-03-31,26.799385065347344
2024-04-30,21.34592883618784
2024-05-31,19.088222156602125
2024-06-30,15.758703068400425
2024-07-31,14.575248188724046
2024-08-31,19.16988549053347
2024-09-30,21.476472446538835
2024-10-31,26.019149897079938
2024-11-30,28.16802955261259
2024-12-31,29.775958920410467
2025-01-31,30.867276046156892
2025-02-28,29.49363244964334
2025-03-31,28.252586530873998
2025-04-30,23.064549545255556
2025-05-31,18.89898025127089
2025-06-30,15.182418776114682
2025-07-31,14.501173335113073
2025-08-31,16.305120593123174
2025-09-30,20.57674488030005
2025-10-31,26.021347073256948
2025-11-30,26.584723504537056
2025-12-31,28.749258973371184
