date,temp_france
2018-01-31,8.160637503275565
2018-02-28,3.4246870945207357
2018-03-31,7.699089468785109
2018-04-30,13.115259131216325
2018-05-31,15.602179419479285
2018-06-30,18.791506224325015
2018-07-31,21.817804024593656
2018-08-31,21.178310555408796
2018-09-30,18.50530830905509
2018-10-31,14.18771316179171
2018-11-30,9.587429215694247
2018-12-31,7.666368383324536
2019-01-31,4.418041287528653
2019-02-28,7.675794039354532
2019-03-31,9.92285638087734
2019-04-30,11.480962586561185
2019-05-31,13.533814050802981
2019-06-30,19.5373387609728
2019-07-31,22.27399989810412
2019-08-31,21.370482162884887
2019-09-30,18.25951287094688
2019-10-31,14.830502888263862
2019-11-30,9.05202698104631
2019-12-31,8.081184092599988
2020-01-31,7.194467927851767
2020-02-29,9.082931041013111
2020-03-31,9.294997474549074
2020-04-30,13.658528361158751
2020-05-31,15.767674089957918
2020-06-30,17.488483966957777
2020-07-31,20.71515549690922
2020-08-31,21.803014239360238
2020-09-30,18.597089473647554
2020-10-31,12.793194093194765
2020-11-30,10.433093603440101
2020-12-31,7.0451237199474495
2021-01-31,4.6591090706187535
2021-02-28,7.806285235186462
2021-03-31,8.625119008055387
2021-04-30,10.020645942367246
2021-05-31,13.215047916442074
2021-06-30,19.26108435147183
2021-07-31,19.715646335904733
2021-08-31,19.545992138660203
2021-09-30,18.566911584734278
2021-10-31,13.198254646225777
2021-11-30,7.857262071946129
2021-12-31,7.1733863900387815
2022-01-31,5.306900558251872
2022-02-28,7.829344334043789
2022-03-31,9.6860941824786
2022-04-30,11.685817397976724
2022-05-31,17.298607098837252
2022-06-30,20.61767641379968
2022-07-31,22.791275984738153
2022-08-31,23.132131010072367
2022-09-30,17.843465422096962
2022-10-31,17.0730761309607
2022-11-30,10.902679220345556
2022-12-31,6.7265605097159
2023-01-31,6.169248696142379
2023-02-28,6.728054073937828
2023-03-31,9.872252981384372
2023-04-30,11.580418323048937
2023-05-31,15.608016931607125
2023-06-30,20.608636738138784
2023-07-31,21.460648967641482
2023-08-31,21.684032043224576
2023-09-30,21.058301168331692
2023-10-31,16.737084790195677
2023-11-30,10.435245942099264
2023-12-31,8.286541136336496
2024-01-31,6.3944445667613685
2024-02-29,9.53139724648891
2024-03-31,10.560701619457298
2024-04-30,12.164412649514919
2024-05-31,15.013514931524089
2024-06-30,18.17769868607259
2024-07-31,20.84717125719899
2024-08-31,21.69611859754362
2024-09-30,16.77671549619293
2024-10-31,15.325937976997466
2024-11-30,10.482871482140384
2024-12-31,6.836931479399461
2025-01-31,6.170087881824914
2025-02-28,7.180821517019041
2025-03-31,9.512277071178834
2025-04-30,13.184901845417523
2025-05-31,15.98952654875879
2025-06-30,21.810052801580248
2025-07-31,21.521015298238627
2025-08-31,22.203824746478894
2025-09-30,17.443992111048853
2025-10-31,14.233679891338411
2025-11-30,10.061424974017697
2025-12-31,7.956391851472169
