date,temp_poland
2018-01-31,-0.5634942413865435
2018-02-28,-4.051059009545204
2018-03-31,-0.5130199921606673
2018-04-30,11.74822183245667
2018-05-31,16.465327062820155
2018-06-30,18.55565652858667
2018-07-31,20.632005101305932
2018-08-31,21.15446434994222
2018-09-30,16.051257902255994
2018-10-31,10.032933482799024
2018-11-30,3.579187580627449
2018-12-31,-0.02030217812924118
2019-01-31,-3.14447821485224
2019-02-28,1.0001953508042238
2019-03-31,4.84258724466633
2019-04-30,9.206502781329322
2019-05-31,12.50859689999057
2019-06-30,21.769768202353628
2019-07-31,19.451087709041243
2019-08-31,20.790099356158812
2019-09-30,14.76976316911158
2019-10-31,10.41299393699703
2019-11-30,5.4130599184028245
2019-12-31,1.7236506235576863
2020-01-31,0.8627656032923305
2020-02-29,2.841348415035405
2020-03-31,3.6286660419694754
2020-04-30,8.053996784761946
2020-05-31,11.113594003277642
2020-06-30,18.29451392612518
2020-07-31,18.807138818398766
2020-08-31,20.624023316253652
2020-09-30,15.632793282633848
2020-10-31,9.948041643223602
2020-11-30,4.596348789363053
2020-12-31,-0.028169798507083194
2021-01-31,-3.5076352528081465
2021-02-28,-3.997003033519484
2021-03-31,2.4838986637913543
2021-04-30,5.647426129843935
2021-05-31,11.66054139589737
2021-06-30,19.49033415093905
2021-07-31,21.598111538014784
2021-08-31,17.541221034225735
2021-09-30,14.147349363629935
2021-10-31,8.781420614545038
2021-11-30,4.1756939214274595
2021-12-31,-2.3634108286856126
2022-01-31,-0.29176294972824784
2022-02-28,2.0189525473806755
2022-03-31,2.5632228555726275
2022-04-30,6.5233453878624985
2022-05-31,13.608933955712688
2022-06-30,19.4013624822069
2022-07-31,19.858323383690585
2022-08-31,21.535173239155846
2022-09-30,12.817965925394049
2022-10-31,11.137885430988932
2022-11-30,3.530357883420762
2022-12-31,-1.8072196831291587
2023-01-31,1.2619459681709122
2023-02-28,0.09294458741718825
2023-03-31,3.736425943370019
2023-04-30,7.669981138333583
2023-05-31,12.767496290356869
2023-06-30,18.15772427138008
2023-07-31,20.262182160868715
2023-08-31,20.615090073655878
2023-09-30,18.473233019269582
2023-10-31,10.778532687251243
2023-11-30,3.3692168731389183
2023-12-31,0.3303791713069819
2024-01-31,-1.5913423237317523
2024-02-29,4.645084649767761
2024-03-31,5.979539289584065
2024-04-30,10.136044396362065
2024-05-31,15.887460514579468
2024-06-30,18.725526399106307
2024-07-31,21.116309679867264
2024-08-31,21.087520289483194
2024-09-30,17.57924241004325
2024-10-31,9.832120246672977
2024-11-30,2.8114349064611375
2024-12-31,1.221368977299382
2025-01-31,0.5393440016201592
2025-02-28,-1.3906745333658108
2025-03-31,5.297202974489996
2025-04-30,10.536383592811166
2025-05-31,11.626448986422684
2025-06-30,18.37669795870565
2025-07-31,19.927082998874535
2025-08-31,19.24638117289353
2025-09-30,16.179538947775583
2025-10-31,8.408343560116059
2025-11-30,3.0986163114707876
2025-12-31,0.7017370383205516
