date;humidity_brazil
1/31/2018;79.95355161
2/28/2018;84.0166043
3/31/2018;83.97781955
4/30/2018;83.9758553
5/31/2018;79.78960532
6/30/2018;75.39363901
7/31/2018;67.34838521
8/31/2018;64.77264659
9/30/2018;62.69973534
10/31/2018;69.43041667
11/30/2018;76.873801
12/31/2018;80.99290801
1/31/2019;79.38514909
2/28/2019;81.65806847
3/31/2019;83.53008448
4/30/2019;83.87401454
5/31/2019;81.16716289
6/30/2019;75.39910977
7/31/2019;68.79311251
8/31/2019;61.96623021
9/30/2019;59.10430967
10/31/2019;66.56931582
11/30/2019;71.5825302
12/31/2019;75.06366399
1/31/2020;79.55550267
2/29/2020;81.48315289
3/31/2020;82.85028873
4/30/2020;83.02483465
5/31/2020;80.89101264
6/30/2020;77.50335206
7/31/2020;70.16204256
8/31/2020;63.24522897
9/30/2020;59.69760526
10/31/2020;65.8286961
11/30/2020;73.52346861
12/31/2020;74.76993816
1/31/2021;77.99426595
2/28/2021;80.58650087
3/31/2021;80.73387191
4/30/2021;79.75465205
5/31/2021;76.33089172
6/30/2021;73.13887791
7/31/2021;64.93395436
8/31/2021;60.53328477
9/30/2021;62.37836294
10/31/2021;71.18657244
11/30/2021;80.1231685
12/31/2021;82.70146416
1/31/2022;83.98817262
2/28/2022;83.39613489
3/31/2022;84.64672643
4/30/2022;83.03751278
5/31/2022;80.02939821
6/30/2022;78.0862988
7/31/2022;71.18392643
8/31/2022;66.10024008
9/30/2022;64.23566709
10/31/2022;69.37860393
11/30/2022;75.56110933
12/31/2022;81.56928119
1/31/2023;83.16729235
2/28/2023;82.30202261
3/31/2023;83.01214245
4/30/2023;83.09489938
5/31/2023;80.2947729
6/30/2023;76.06131483
7/31/2023;68.66067113
8/31/2023;62.73121377
9/30/2023;58.30161071
10/31/2023;60.03257758
11/30/2023;62.46787724
12/31/2023;68.95108897
1/31/2024;76.87047795
2/29/2024;78.35614004
3/31/2024;79.70010039
4/30/2024;81.53910208
5/31/2024;73.63245995
6/30/2024;68.67687922
7/31/2024;62.4694678
8/31/2024;54.86598792
9/30/2024;50.77212506
10/31/2024;59.33534885
11/30/2024;69.42363471
12/31/2024;73.19350796
1/31/2025;78.25057975
2/28/2025;77.88739921
3/31/2025;77.58857555
4/30/2025;79.49429201
5/31/2025;74.09876766
6/30/2025;73.74629864
7/31/2025;64.89773669
8/31/2025;58.96742684
9/30/2025;56.47946428
10/31/2025;60.1374205
11/30/2025;65.27710543
12/31/2025;75.7792857
