date,solar_australia
2018-01-31,222.71652286843926
2018-02-28,191.15542997706117
2018-03-31,193.31466006429292
2018-04-30,163.48544112774601
2018-05-31,137.90262680795894
2018-06-30,114.94964795592104
2018-07-31,132.84025866354
2018-08-31,160.10628394640383
2018-09-30,190.83721581277214
2018-10-31,212.69722636312397
2018-11-30,221.45871118869093
2018-12-31,245.40742579846804
2019-01-31,236.485308492113
2019-02-28,208.35100277561412
2019-03-31,189.63254903757004
2019-04-30,158.59679088078343
2019-05-31,136.19733304688774
2019-06-30,116.81408932166929
2019-07-31,130.3455964982963
2019-08-31,161.16918115498515
2019-09-30,192.24126436354794
2019-10-31,226.7650524367009
2019-11-30,241.5003886545205
2019-12-31,250.16655495602924
2020-01-31,225.19705586819748
2020-02-29,200.85388709126187
2020-03-31,192.7350919032937
2020-04-30,155.6894683240502
2020-05-31,132.70796440245212
2020-06-30,119.99016139034721
2020-07-31,131.41424074221396
2020-08-31,155.95922963943798
2020-09-30,184.07660442026966
2020-10-31,216.10125146275863
2020-11-30,231.60632053779278
2020-12-31,221.481539261153
2021-01-31,227.07074313886622
2021-02-28,188.94220010287555
2021-03-31,185.54498656576266
2021-04-30,164.3725037295755
2021-05-31,134.06309245060635
2021-06-30,108.90495266968378
2021-07-31,126.02910903272965
2021-08-31,157.70696789893083
2021-09-30,185.53880882563305
2021-10-31,216.46425007750958
2021-11-30,211.75151859103067
2021-12-31,245.82986157277483
2022-01-31,223.58553437465565
2022-02-28,199.55072593625536
2022-03-31,193.68397650736745
2022-04-30,150.83178611685332
2022-05-31,121.78658001339977
2022-06-30,108.80550214097596
2022-07-31,127.04115383352757
2022-08-31,149.62936418412102
2022-09-30,169.30380383813497
2022-10-31,198.15585242083543
2022-11-30,216.9574215534247
2022-12-31,229.88863207158815
2023-01-31,215.16440890648116
2023-02-28,194.33792212714238
2023-03-31,189.66627724413235
2023-04-30,153.79358835856496
2023-05-31,138.98479102136307
2023-06-30,107.63039813986387
2023-07-31,123.66275448252986
2023-08-31,155.54506186143115
2023-09-30,188.0447942513155
2023-10-31,228.923733440097
2023-11-30,213.9084759582106
2023-12-31,240.6194912071607
2024-01-31,215.07104233524234
2024-02-29,201.29851582001447
2024-03-31,170.5029802252373
2024-04-30,158.60007654018077
2024-05-31,130.7915793945206
2024-06-30,110.56010826200603
2024-07-31,125.10707412480348
2024-08-31,152.3707842379869
2024-09-30,175.01723676704128
2024-10-31,213.89642029046448
2024-11-30,206.19712632062067
2024-12-31,236.98331709306873
2025-01-31,233.50975829942305
2025-02-28,195.15321891546046
2025-03-31,180.1935179986603
2025-04-30,153.74975413098971
2025-05-31,130.53389986855294
2025-06-30,116.01110759790183
2025-07-31,125.37016330746614
2025-08-31,152.94200725691366
2025-09-30,183.277135595924
2025-10-31,212.5479864773431
2025-11-30,217.90364994630997
2025-12-31,224.60678038703335
