date,humidity_chile
2018-01-31,64.88617488672853
2018-02-28,66.43689167480524
2018-03-31,63.48106912041402
2018-04-30,65.90524444809121
2018-05-31,64.55813623307228
2018-06-30,68.32610999143454
2018-07-31,69.2410380911949
2018-08-31,63.12459441574751
2018-09-30,61.751589919060095
2018-10-31,62.1823339274743
2018-11-30,60.898033748838486
2018-12-31,59.44768778953589
2019-01-31,62.830552950729114
2019-02-28,62.602698692209
2019-03-31,60.319490352173446
2019-04-30,62.72488948113663
2019-05-31,66.03369739836083
2019-06-30,67.7372539007538
2019-07-31,66.95416252104128
2019-08-31,60.844194755246946
2019-09-30,63.711129587171364
2019-10-31,60.206224649712844
2019-11-30,61.119258525679896
2019-12-31,59.70803561004174
2020-01-31,64.46014154717405
2020-02-29,61.98523872343219
2020-03-31,64.82156468874317
2020-04-30,63.8565122838125
2020-05-31,63.2611588184949
2020-06-30,71.15756348396731
2020-07-31,66.09744748741244
2020-08-31,67.60401036970391
2020-09-30,62.843287331623735
2020-10-31,60.2991278483333
2020-11-30,59.04848445603369
2020-12-31,60.144347164120354
2021-01-31,61.90068691759843
2021-02-28,60.70834964782686
2021-03-31,63.40119004513319
2021-04-30,63.061485279431125
2021-05-31,64.92857185473727
2021-06-30,67.04855779049242
2021-07-31,64.31390180638692
2021-08-31,64.39031904457899
2021-09-30,61.86970719476414
2021-10-31,58.717014770193735
2021-11-30,57.097544028508416
2021-12-31,59.03856382897048
2022-01-31,61.75080485220476
2022-02-28,59.350056408379906
2022-03-31,63.24636632222563
2022-04-30,62.70264412581064
2022-05-31,61.91199969897449
2022-06-30,68.39514769816188
2022-07-31,68.79433766861955
2022-08-31,62.75457024339293
2022-09-30,61.40770002771465
2022-10-31,57.62120523106884
2022-11-30,56.78335457349111
2022-12-31,59.351985789325504
2023-01-31,60.5804841016751
2023-02-28,62.693718134609405
2023-03-31,65.93550850211851
2023-04-30,63.621936328422436
2023-05-31,63.47377677174192
2023-06-30,63.27183916557605
2023-07-31,64.00706912355656
2023-08-31,63.97698562935237
2023-09-30,63.715273178686694
2023-10-31,61.5181492508782
2023-11-30,60.576684310747886
2023-12-31,57.14793620701273
2024-01-31,59.25712929054358
2024-02-29,62.65673580703939
2024-03-31,62.73514160326323
2024-04-30,63.746982958222716
2024-05-31,66.31688737699936
2024-06-30,68.03277364749768
2024-07-31,62.76454765627979
2024-08-31,64.71881442590758
2024-09-30,61.079709237141195
2024-10-31,61.069174545889965
2024-11-30,61.121688300879846
2024-12-31,56.471541174374494
2025-01-31,61.264918031045745
2025-02-28,64.49770424935834
2025-03-31,64.47739202526058
2025-04-30,63.1448951489761
2025-05-31,65.22896772750926
2025-06-30,70.49907681078282
2025-07-31,65.36528811061967
2025-08-31,67.70469301168325
2025-09-30,63.125116658860264
2025-10-31,60.404377290389355
2025-11-30,58.39777416603477
2025-12-31,62.71689634144358
