date,precip_kenya
2018-01-31,4.44875301160097
2018-02-28,11.225785320836318
2018-03-31,145.38280706495146
2018-04-30,249.19729425604214
2018-05-31,137.85941680753606
2018-06-30,54.12010025530084
2018-07-31,32.05462675194487
2018-08-31,24.729227477629976
2018-09-30,21.99620382594489
2018-10-31,63.86916796188247
2018-11-30,49.08700342115764
2018-12-31,62.23607054946225
2019-01-31,13.232025783846776
2019-02-28,7.164080414544633
2019-03-31,17.963583407921913
2019-04-30,56.3069454867604
2019-05-31,111.19330057951197
2019-06-30,44.96266087634498
2019-07-31,44.357115465774314
2019-08-31,34.06405562495702
2019-09-30,40.66853518314031
2019-10-31,183.27381642031645
2019-11-30,156.45440636397927
2019-12-31,131.64730460116814
2020-01-31,71.93043628106241
2020-02-29,33.729707412010995
2020-03-31,103.73540625658825
2020-04-30,185.54521524093883
2020-05-31,90.58363961152318
2020-06-30,65.98639474811688
2020-07-31,36.77533494652473
2020-08-31,46.2817451343273
2020-09-30,62.062836818227154
2020-10-31,62.650177870265836
2020-11-30,115.80175240576524
2020-12-31,124.94654106047948
2021-01-31,98.46708771486746
2021-02-28,20.8009440876111
2021-03-31,40.84275048083395
2021-04-30,78.56453537454998
2021-05-31,114.63709139471494
2021-06-30,19.00222632786082
2021-07-31,31.1781657963717
2021-08-31,22.99184393499915
2021-09-30,33.08195156478492
2021-10-31,31.797316784040905
2021-11-30,246.47624592171235
2021-12-31,86.68894687789411
2022-01-31,31.88645486463674
2022-02-28,14.597776337122323
2022-03-31,34.038278230835516
2022-04-30,170.90457147276794
2022-05-31,61.995658083888685
2022-06-30,27.83909196704315
2022-07-31,38.82779341803231
2022-08-31,65.55974321270423
2022-09-30,66.15645418396552
2022-10-31,29.58341484862826
2022-11-30,74.36059611872115
2022-12-31,33.31281173264558
2023-01-31,14.2575534375964
2023-02-28,5.122038646159081
2023-03-31,76.74664406122207
2023-04-30,228.98341190382047
2023-05-31,71.44148724218864
2023-06-30,139.01898346961664
2023-07-31,30.102846878521976
2023-08-31,31.891526866030727
2023-09-30,31.091946830726428
2023-10-31,111.98108280180442
2023-11-30,280.86508527224765
2023-12-31,41.25484230109085
2024-01-31,45.03363694461396
2024-02-29,88.15970222891322
2024-03-31,51.27427198843914
2024-04-30,218.49718263073186
2024-05-31,113.68479477503526
2024-06-30,28.8940561263681
2024-07-31,47.73452569280208
2024-08-31,44.132838263322384
2024-09-30,26.72807694147974
2024-10-31,30.43947544538389
2024-11-30,140.47039435183243
2024-12-31,33.97767556981057
2025-01-31,17.923074651235297
2025-02-28,2.6239489767868878
2025-03-31,88.6664697246831
2025-04-30,145.58702501981935
2025-05-31,82.00141185709666
2025-06-30,39.91601199847463
2025-07-31,50.05395750999476
2025-08-31,84.70549993691903
2025-09-30,35.37106740209264
2025-10-31,58.9883994793885
2025-11-30,37.10896931955765
2025-12-31,41.665450494136586
