date,precip_angola
2018-01-31,122.38801937823747
2018-02-28,153.31140514869335
2018-03-31,140.96361719263405
2018-04-30,104.90094717207495
2018-05-31,40.16395768529219
2018-06-30,1.6871206273940365
2018-07-31,0.8444049699669206
2018-08-31,26.188708328910955
2018-09-30,66.65495501976392
2018-10-31,81.11794548421577
2018-11-30,125.23104757336829
2018-12-31,100.21811552890433
2019-01-31,143.38133957816967
2019-02-28,86.14812981414585
2019-03-31,38.98868897882697
2019-04-30,28.175877660468668
2019-05-31,7.689096937078186
2019-06-30,0.14947460999550996
2019-07-31,0.8618508219770865
2019-08-31,4.035925343763064
2019-09-30,19.71816744759763
2019-10-31,70.7934142427329
2019-11-30,77.97925408643825
2019-12-31,111.49306746765512
2020-01-31,151.85131441363794
2020-02-29,218.4676617382898
2020-03-31,567.4397016649262
2020-04-30,123.43643267171056
2020-05-31,12.169220454081014
2020-06-30,1.1963687347285639
2020-07-31,0.2282583524620749
2020-08-31,2.9915105157372555
2020-09-30,12.939350595250957
2020-10-31,32.636155222161065
2020-11-30,126.09160812372598
2020-12-31,118.29382769921307
2021-01-31,206.87692539375885
2021-02-28,112.78218866905907
2021-03-31,132.2270103073432
2021-04-30,74.55680214104501
2021-05-31,29.850356693180505
2021-06-30,0.4096705672278218
2021-07-31,0.1630975670614208
2021-08-31,3.127195437314044
2021-09-30,19.033138310966844
2021-10-31,68.65205320416554
2021-11-30,79.6103358092165
2021-12-31,114.15720810359076
2022-01-31,142.22000402995468
2022-02-28,110.36657611386998
2022-03-31,306.7633634731579
2022-04-30,120.092950245208
2022-05-31,9.916003234594845
2022-06-30,0.8465389263471832
2022-07-31,0.6192922885864579
2022-08-31,3.7553428188674087
2022-09-30,10.020729071997499
2022-10-31,36.34398638626944
2022-11-30,98.01192535985336
2022-12-31,80.00987777822466
2023-01-31,165.10016621761415
2023-02-28,68.95896784715849
2023-03-31,124.07162646059064
2023-04-30,79.32573417924237
2023-05-31,11.564270046057306
2023-06-30,1.1516854087058865
2023-07-31,0.4040308437359688
2023-08-31,2.034116032530851
2023-09-30,21.892177514369397
2023-10-31,49.0724448702631
2023-11-30,94.35034319327313
2023-12-31,100.0547764612712
2024-01-31,76.51588522285756
2024-02-29,96.57935127799985
2024-03-31,93.45098312700912
2024-04-30,97.81909770523278
2024-05-31,7.90831539912964
2024-06-30,0.878147712264192
2024-07-31,0.1172274553787643
2024-08-31,0.4771783416007654
2024-09-30,11.720187673469024
2024-10-31,24.633843992604074
2024-11-30,72.74901323651487
2024-12-31,102.11699607547924
2025-01-31,77.90641288875298
2025-02-28,168.784454096297
2025-03-31,118.88920328533398
2025-04-30,116.52798124088221
2025-05-31,32.07823711726087
2025-06-30,2.540050447857038
2025-07-31,0.23768965509958467
2025-08-31,1.8246344926819826
2025-09-30,9.944961468249403
2025-10-31,25.016182456918113
2025-11-30,60.59032964456048
2025-12-31,74.3273988494359
