date;temp_ethiopia
1/31/2018;22.11501161
2/28/2018;24.41326408
3/31/2018;24.90459691
4/30/2018;24.21342854
5/31/2018;24.25172086
6/30/2018;23.38072905
7/31/2018;22.66019529
8/31/2018;22.88869859
9/30/2018;23.95268294
10/31/2018;23.43973902
11/30/2018;22.9499404
12/31/2018;22.90809901
1/31/2019;23.17624288
2/28/2019;25.25275237
3/31/2019;26.43956009
4/30/2019;26.20471779
5/31/2019;25.77327633
6/30/2019;24.157558
7/31/2019;23.73276091
8/31/2019;23.31932206
9/30/2019;23.79008495
10/31/2019;22.03190088
11/30/2019;22.12745252
12/31/2019;21.8875679
1/31/2020;22.52774633
2/29/2020;24.52844025
3/31/2020;25.83937233
4/30/2020;25.14959078
5/31/2020;23.95223003
6/30/2020;23.38924035
7/31/2020;22.26329451
8/31/2020;22.34095296
9/30/2020;23.00274874
10/31/2020;22.76525367
11/30/2020;21.94464635
12/31/2020;21.94680888
1/31/2021;21.8604919
2/28/2021;23.46774521
3/31/2021;25.62050858
4/30/2021;25.51564543
5/31/2021;23.7412475
6/30/2021;23.81682557
7/31/2021;21.81829528
8/31/2021;22.53684785
9/30/2021;23.09400335
10/31/2021;23.15359867
11/30/2021;22.93656989
12/31/2021;21.58914413
1/31/2022;22.23263436
2/28/2022;23.98110046
3/31/2022;25.55249748
4/30/2022;25.55954156
5/31/2022;25.12692635
6/30/2022;23.66787448
7/31/2022;21.89364877
8/31/2022;21.94640688
9/30/2022;23.17455025
10/31/2022;23.03529093
11/30/2022;22.78452772
12/31/2022;22.38771274
1/31/2023;22.77401362
2/28/2023;24.11396588
3/31/2023;24.75127607
4/30/2023;24.51359422
5/31/2023;23.89600276
6/30/2023;23.35777675
7/31/2023;23.05634673
8/31/2023;23.43180322
9/30/2023;24.62971555
10/31/2023;23.52006447
11/30/2023;21.66099079
12/31/2023;21.78537881
1/31/2024;22.93277498
2/29/2024;24.82552054
3/31/2024;26.42635662
4/30/2024;25.76024129
5/31/2024;25.44977568
6/30/2024;24.39155624
7/31/2024;23.26348667
8/31/2024;22.53689882
9/30/2024;23.82232643
10/31/2024;23.6354933
11/30/2024;22.54804027
12/31/2024;21.79863532
1/31/2025;22.82264654
2/28/2025;24.95346183
3/31/2025;25.95670497
4/30/2025;25.75160827
5/31/2025;25.0483274
6/30/2025;24.92834937
7/31/2025;23.51897296
8/31/2025;22.46641066
9/30/2025;23.3857426
10/31/2025;22.74700918
11/30/2025;22.44921904
12/31/2025;22.93541857
