date;temp_mongolia
1/31/2018;-20.04113413
2/28/2018;-15.03344011
3/31/2018;-1.476645942
4/30/2018;4.680640795
5/31/2018;12.22856805
6/30/2018;18.75039196
7/31/2018;19.3645195
8/31/2018;18.2548046
9/30/2018;8.628590224
10/31/2018;2.025382121
11/30/2018;-8.294000208
12/31/2018;-18.61602579
1/31/2019;-16.75868602
2/28/2019;-15.80446032
3/31/2019;-3.279424472
4/30/2019;4.847404324
5/31/2019;9.232156545
6/30/2019;17.50400696
7/31/2019;19.59724323
8/31/2019;17.53262323
9/30/2019;13.67815079
10/31/2019;1.836954192
11/30/2019;-7.614297586
12/31/2019;-14.22183964
1/31/2020;-14.73210366
2/29/2020;-10.70878156
3/31/2020;-4.354270101
4/30/2020;6.252211945
5/31/2020;11.58003939
6/30/2020;16.85887833
7/31/2020;19.44968171
8/31/2020;16.46456357
9/30/2020;10.4402976
10/31/2020;-0.15160491
11/30/2020;-6.870939161
12/31/2020;-18.0760164
1/31/2021;-17.9114215
2/28/2021;-10.00200319
3/31/2021;-2.710254803
4/30/2021;3.214354097
5/31/2021;9.454355002
6/30/2021;16.0283637
7/31/2021;19.90914661
8/31/2021;15.8592987
9/30/2021;10.74932955
10/31/2021;1.16220659
11/30/2021;-7.158091384
12/31/2021;-13.33277648
1/31/2022;-15.14229349
2/28/2022;-14.90970365
3/31/2022;-4.73569782
4/30/2022;3.378355161
5/31/2022;11.9840792
6/30/2022;18.24003464
7/31/2022;19.06843939
8/31/2022;16.92560877
9/30/2022;12.59995327
10/31/2022;0.696185057
11/30/2022;-7.726846491
12/31/2022;-17.69788172
1/31/2023;-17.51534022
2/28/2023;-11.1469332
3/31/2023;-2.68283921
4/30/2023;0.978435324
5/31/2023;8.60812971
6/30/2023;18.06409022
7/31/2023;19.85461372
8/31/2023;18.59738716
9/30/2023;11.59018055
10/31/2023;4.794737485
11/30/2023;-8.407542347
12/31/2023;-16.02382415
1/31/2024;-15.87747341
2/29/2024;-15.42937723
3/31/2024;-4.278483411
4/30/2024;4.586384825
5/31/2024;14.05574554
6/30/2024;18.18129176
7/31/2024;21.22036828
8/31/2024;18.9480452
9/30/2024;10.24795571
10/31/2024;2.421855425
11/30/2024;-5.436790545
12/31/2024;-14.95508771
1/31/2025;-14.59202766
2/28/2025;-13.94305068
3/31/2025;-4.496123809
4/30/2025;4.802547657
5/31/2025;10.60380696
6/30/2025;18.05335626
7/31/2025;20.94588065
8/31/2025;17.53001235
9/30/2025;10.69941488
10/31/2025;-0.569556982
11/30/2025;-7.131418902
12/31/2025;-14.32151191
