date,humidity_nigeria
2018-01-31,35.74297790251913
2018-02-28,44.8067584016917
2018-03-31,45.76378446466931
2018-04-30,54.059111996664214
2018-05-31,69.67963291521043
2018-06-30,75.82010178394957
2018-07-31,81.22045053436322
2018-08-31,85.24493818578834
2018-09-30,84.71884242952511
2018-10-31,77.60233767388245
2018-11-30,57.580837395620506
2018-12-31,46.3201475026264
2019-01-31,40.76527390863874
2019-02-28,39.796356751312764
2019-03-31,44.52172521098571
2019-04-30,49.75293639152016
2019-05-31,66.9825978398714
2019-06-30,72.80768831904243
2019-07-31,79.64563928957604
2019-08-31,85.57912415417495
2019-09-30,84.28307701581039
2019-10-31,82.95568635322071
2019-11-30,65.52216134744094
2019-12-31,48.079740957038545
2020-01-31,41.38419891116062
2020-02-29,36.038926733518174
2020-03-31,47.99232321367166
2020-04-30,64.78859802340337
2020-05-31,72.28232541093776
2020-06-30,77.75255057854632
2020-07-31,83.65610782617145
2020-08-31,85.75277269964144
2020-09-30,85.58115806114833
2020-10-31,76.72172224282424
2020-11-30,64.1377573121109
2020-12-31,53.570707007537905
2021-01-31,42.85921221799444
2021-02-28,36.8581417463214
2021-03-31,47.74432247538463
2021-04-30,52.76201995801529
2021-05-31,63.42792825573512
2021-06-30,76.74926189034855
2021-07-31,84.23629799891025
2021-08-31,87.09595269628132
2021-09-30,85.81534613894867
2021-10-31,79.11174341054735
2021-11-30,67.30121071732086
2021-12-31,57.654929272586145
2022-01-31,50.733979542566196
2022-02-28,41.149991810682764
2022-03-31,48.160327530497014
2022-04-30,65.08833795019062
2022-05-31,74.06430502650612
2022-06-30,80.21507423850288
2022-07-31,83.79246040025303
2022-08-31,86.61860658581593
2022-09-30,86.20000841267637
2022-10-31,77.52190827808094
2022-11-30,61.36085687088575
2022-12-31,51.89515492924141
2023-01-31,46.52693826563529
2023-02-28,39.091371264485645
2023-03-31,50.41011725972245
2023-04-30,56.420301825782154
2023-05-31,66.47984099898396
2023-06-30,76.59964494184028
2023-07-31,76.55743860243273
2023-08-31,80.75485314514759
2023-09-30,80.38755278750182
2023-10-31,69.23579778114168
2023-11-30,57.9384731737471
2023-12-31,41.06308673830647
2024-01-31,32.31313306595024
2024-02-29,34.35980294205054
2024-03-31,43.42573755664498
2024-04-30,53.262722985608555
2024-05-31,63.0134668466535
2024-06-30,72.88064439062843
2024-07-31,81.95780239256888
2024-08-31,86.77466802525068
2024-09-30,84.74930603850436
2024-10-31,78.89547384552874
2024-11-30,59.73128760122645
2024-12-31,47.783663726461526
2025-01-31,40.61211543842786
2025-02-28,36.99969091324256
2025-03-31,38.51938059605214
2025-04-30,44.56658026479892
2025-05-31,54.54449060814851
2025-06-30,69.55044647002921
2025-07-31,80.11971884154913
2025-08-31,82.61864353661869
2025-09-30,81.4941954285683
2025-10-31,70.71641569451239
2025-11-30,51.637532876812436
2025-12-31,43.86906534293751
