date,solar_taiwan
2018-01-31,69.77599815184237
2018-02-28,68.38381165124807
2018-03-31,135.75102607792195
2018-04-30,130.95378985112214
2018-05-31,189.84529136681073
2018-06-30,156.59982449799662
2018-07-31,181.37173118537643
2018-08-31,149.36561178817507
2018-09-30,162.6796143734424
2018-10-31,115.18129581239747
2018-11-30,92.06483515670239
2018-12-31,86.73666088911733
2019-01-31,79.5621376123397
2019-02-28,100.37453625072382
2019-03-31,109.77951129266097
2019-04-30,138.9603371063391
2019-05-31,112.43628067329495
2019-06-30,150.2527237720113
2019-07-31,185.0233153512714
2019-08-31,160.47289801439663
2019-09-30,140.7314694539622
2019-10-31,134.6641592989439
2019-11-30,99.7231396022891
2019-12-31,87.69894236595269
2020-01-31,91.58150074504461
2020-02-29,91.87163650308624
2020-03-31,114.00173901079847
2020-04-30,113.82531524504675
2020-05-31,145.47434640342894
2020-06-30,197.37886285474312
2020-07-31,200.30148877360847
2020-08-31,169.11222617800613
2020-09-30,147.84906853614302
2020-10-31,115.04075129448769
2020-11-30,89.94727317842832
2020-12-31,69.80788337080823
2021-01-31,87.1264878121681
2021-02-28,107.57828309643543
2021-03-31,125.5288298658677
2021-04-30,128.99217937695317
2021-05-31,192.27001244158922
2021-06-30,164.2497202272173
2021-07-31,197.28077298531872
2021-08-31,157.3392794538704
2021-09-30,170.73164119744644
2021-10-31,117.39822604056036
2021-11-30,76.5718689052166
2021-12-31,79.58304509660073
2022-01-31,70.1153697718371
2022-02-28,81.44212836668689
2022-03-31,118.99501548026349
2022-04-30,136.21782040932172
2022-05-31,116.79034319417416
2022-06-30,182.80936657677688
2022-07-31,208.85788266312517
2022-08-31,190.0575103354474
2022-09-30,154.10617866799436
2022-10-31,117.46440250157174
2022-11-30,92.70645274478302
2022-12-31,79.0919904095972
2023-01-31,79.46546828174783
2023-02-28,91.10958393861316
2023-03-31,138.88609774795876
2023-04-30,123.87345912541231
2023-05-31,140.14142687300867
2023-06-30,162.77106215551376
2023-07-31,187.66094438891767
2023-08-31,167.57669704450254
2023-09-30,157.66562734842606
2023-10-31,103.19100514058924
2023-11-30,102.53640070409408
2023-12-31,72.65991438560421
2024-01-31,78.4775454462154
2024-02-29,100.65382343392056
2024-03-31,111.63377456281164
2024-04-30,139.71937456472526
2024-05-31,135.26396632927919
2024-06-30,172.87478238273104
2024-07-31,192.33748930648417
2024-08-31,182.36239427226607
2024-09-30,142.13046571976665
2024-10-31,108.95490875372765
2024-11-30,82.51905735788
2024-12-31,73.12148658006303
2025-01-31,67.7105823135105
2025-02-28,72.79639464620438
2025-03-31,115.7712825256794
2025-04-30,129.77301968576876
2025-05-31,150.38509989991582
2025-06-30,174.8504273386966
2025-07-31,138.42004570842641
2025-08-31,174.8380372211366
2025-09-30,155.96831758564826
2025-10-31,139.66733501491063
2025-11-30,86.0168454609287
2025-12-31,88.76733390600684
