date,humidity_costarica
2018-01-31,87.4542477881406
2018-02-28,80.02244215555753
2018-03-31,75.49352952545561
2018-04-30,79.45280321964553
2018-05-31,84.78994207752176
2018-06-30,89.5550558336612
2018-07-31,88.73868511782305
2018-08-31,87.03816637255059
2018-09-30,88.0644572814237
2018-10-31,90.30475655754245
2018-11-30,87.95527530281494
2018-12-31,83.57994014477626
2019-01-31,77.66565245315317
2019-02-28,70.4781345121932
2019-03-31,71.40486435937382
2019-04-30,74.37830603473931
2019-05-31,87.37866516608182
2019-06-30,88.6176975066312
2019-07-31,86.36499597843743
2019-08-31,87.2845769918712
2019-09-30,88.73799678274996
2019-10-31,91.71101753880372
2019-11-30,87.76844569692807
2019-12-31,87.1343375709762
2020-01-31,84.50704907504061
2020-02-29,79.29015961392999
2020-03-31,71.31524344245753
2020-04-30,76.33785712056121
2020-05-31,84.48546484435681
2020-06-30,88.70778728946682
2020-07-31,87.48773741011371
2020-08-31,88.99435752271746
2020-09-30,88.41734835115933
2020-10-31,90.39754786857183
2020-11-30,91.07093773183871
2020-12-31,87.62637071583814
2021-01-31,84.46642059519127
2021-02-28,80.31679967827499
2021-03-31,75.14575221185939
2021-04-30,81.95034915547186
2021-05-31,86.66588383092304
2021-06-30,87.73100756293309
2021-07-31,87.69835591409245
2021-08-31,89.20500595430806
2021-09-30,88.25803668623244
2021-10-31,89.28547482022744
2021-11-30,87.21142654949931
2021-12-31,86.28808656558557
2022-01-31,79.7838487533156
2022-02-28,73.16621110190815
2022-03-31,74.7610555095407
2022-04-30,81.0492637183193
2022-05-31,87.8557441687343
2022-06-30,90.2251855199793
2022-07-31,89.24174577735931
2022-08-31,87.68523539933243
2022-09-30,89.6782960588687
2022-10-31,90.34475655754244
2022-11-30,90.93160611517055
2022-12-31,85.90985036194064
2023-01-31,83.33961094104563
2023-02-28,77.74829412612318
2023-03-31,78.85304070779502
2023-04-30,75.78152630820557
2023-05-31,79.73839581757494
2023-06-30,86.85478648515434
2023-07-31,86.86819630016245
2023-08-31,86.70163604278245
2023-09-30,84.52527530281493
2023-10-31,90.30835591409243
2023-11-30,90.06175575322993
2023-12-31,86.57342976674938
2024-01-31,82.35977055497563
2024-02-29,77.63968077214001
2024-03-31,73.38093773183871
2024-04-30,76.16181560845368
2024-05-31,85.26382075844924
2024-06-30,90.67741818225372
2024-07-31,89.9847765092837
2024-08-31,88.0879369275262
2024-09-30,89.33051874527247
2024-10-31,90.32138664601682
2024-11-30,92.21077811790872
2024-12-31,88.78687948523998
2025-01-31,85.87322027346625
2025-02-28,81.41073821442622
2025-03-31,76.99551472370993
2025-04-30,79.87462687122432
2025-05-31,88.30505583366119
2025-06-30,89.57124698382809
2025-07-31,87.44446725729433
2025-08-31,86.94814642080934
2025-09-30,88.90146645298182
2025-10-31,90.6478571205612
2025-11-30,89.45451713664747
2025-12-31,86.41081802139122
