date,precip_france
2018-01-31,130.92604030987846
2018-02-28,68.94866209430897
2018-03-31,105.84368844478361
2018-04-30,112.11756063699046
2018-05-31,137.2242021466144
2018-06-30,99.7554143299914
2018-07-31,76.34254527426913
2018-08-31,44.477222482069905
2018-09-30,24.69230112161023
2018-10-31,69.51817256163044
2018-11-30,88.12049965850336
2018-12-31,105.94246146802574
2019-01-31,65.31828884449325
2019-02-28,39.977956874503434
2019-03-31,42.900183396174214
2019-04-30,71.73369404450892
2019-05-31,91.0282785938056
2019-06-30,84.87136838721595
2019-07-31,50.79313939836874
2019-08-31,50.16238120956853
2019-09-30,40.53875568593222
2019-10-31,110.70330719210433
2019-11-30,138.31471419658467
2019-12-31,123.5749476582144
2020-01-31,51.64413933054676
2020-02-29,71.1749564430302
2020-03-31,69.6038691746655
2020-04-30,70.50603198086766
2020-05-31,98.74019280896208
2020-06-30,100.04141547177832
2020-07-31,28.83877601317418
2020-08-31,60.437822913888084
2020-09-30,60.198910297217566
2020-10-31,112.04535375904811
2020-11-30,45.58229126928045
2020-12-31,128.82533813114105
2021-01-31,111.32008736029772
2021-02-28,58.41382464475998
2021-03-31,50.572839452217785
2021-04-30,78.6997595934648
2021-05-31,119.62484291620105
2021-06-30,120.59281042148271
2021-07-31,99.81382528899812
2021-08-31,46.252739577712255
2021-09-30,67.68975970656781
2021-10-31,65.79540255597821
2021-11-30,65.68715891371744
2021-12-31,110.2441237721286
2022-01-31,53.091198477255
2022-02-28,63.40194709887253
2022-03-31,64.89683798135951
2022-04-30,70.39120293572388
2022-05-31,58.6581412110043
2022-06-30,96.81983197638779
2022-07-31,40.857365415437506
2022-08-31,50.26749694635741
2022-09-30,67.86132916577752
2022-10-31,54.83974491208781
2022-11-30,102.19757981421148
2022-12-31,96.86860542431037
2023-01-31,90.83447446290228
2023-02-28,57.71779347956969
2023-03-31,80.79965993393179
2023-04-30,80.50464861193029
2023-05-31,80.2282184848384
2023-06-30,81.33452940563276
2023-07-31,57.574959067039536
2023-08-31,54.88972778683698
2023-09-30,48.00159631888062
2023-10-31,95.26971774104433
2023-11-30,114.53151369623863
2023-12-31,96.85974991054837
2024-01-31,76.72110433463905
2024-02-29,88.45674211860671
2024-03-31,105.48360030155219
2024-04-30,83.38539017237964
2024-05-31,161.22484484674584
2024-06-30,101.41111405456624
2024-07-31,67.81096673017451
2024-08-31,47.02488391056481
2024-09-30,101.22851872467092
2024-10-31,98.02158813787753
2024-11-30,60.77286908433845
2024-12-31,73.36589006139636
2025-01-31,96.72879329695282
2025-02-28,43.97204662372618
2025-03-31,52.8309942764073
2025-04-30,63.6053851676287
2025-05-31,60.15103521716217
2025-06-30,65.42385644330969
2025-07-31,55.01233445873754
2025-08-31,42.596567927737354
2025-09-30,48.703802856783895
2025-10-31,51.321711540970604
2025-11-30,55.4537807236508
2025-12-31,51.28776801982736
