date,precip_ethiopia
2018-01-31,2.8327705812139348
2018-02-28,28.21612780288871
2018-03-31,42.68751566217622
2018-04-30,154.85344333354539
2018-05-31,95.95693460320472
2018-06-30,93.69848310689856
2018-07-31,102.51081926064356
2018-08-31,133.3157241564401
2018-09-30,76.60892683137023
2018-10-31,72.33176257634675
2018-11-30,51.717067563532424
2018-12-31,9.011929997177845
2019-01-31,0.14260213008857553
2019-02-28,15.939160817964803
2019-03-31,27.21330075756592
2019-04-30,82.69220813877948
2019-05-31,69.30750024169829
2019-06-30,119.27546420110669
2019-07-31,83.18066333623746
2019-08-31,151.0959152873973
2019-09-30,192.211812025485
2019-10-31,149.2898114259626
2019-11-30,72.77093594600127
2019-12-31,41.368286288105935
2020-01-31,13.377392153341553
2020-02-29,13.943073491880167
2020-03-31,47.91310148281791
2020-04-30,188.23679563992727
2020-05-31,155.02267243956746
2020-06-30,122.70410109358299
2020-07-31,181.30636400269196
2020-08-31,196.8475240664481
2020-09-30,185.02169854147687
2020-10-31,97.30551624909953
2020-11-30,36.85137118874839
2020-12-31,34.90162616851633
2021-01-31,42.445012015903494
2021-02-28,13.50340520256238
2021-03-31,10.002760008270721
2021-04-30,99.6188996326065
2021-05-31,179.00511859016754
2021-06-30,80.30209041316421
2021-07-31,259.34016421180104
2021-08-31,203.7188236422543
2021-09-30,154.89562313701785
2021-10-31,78.50151354079819
2021-11-30,95.59820516594858
2021-12-31,33.420480395855236
2022-01-31,29.56098842038295
2022-02-28,9.7352723705034
2022-03-31,25.908485393760607
2022-04-30,173.76895709969082
2022-05-31,59.494165364736205
2022-06-30,131.3962956357816
2022-07-31,220.5484897667815
2022-08-31,142.68541657717518
2022-09-30,103.6379948403372
2022-10-31,79.66170730683996
2022-11-30,17.253974154126603
2022-12-31,19.38107678958054
2023-01-31,4.457564937290517
2023-02-28,8.997919442757752
2023-03-31,87.77409380589881
2023-04-30,178.91754339421902
2023-05-31,138.2750327702743
2023-06-30,155.4836794703654
2023-07-31,171.37909113546584
2023-08-31,153.0268415606862
2023-09-30,100.59917242780944
2023-10-31,189.01639878970917
2023-11-30,163.58907775368385
2023-12-31,5.681914263198725
2024-01-31,8.217194335591381
2024-02-29,47.30551951998223
2024-03-31,35.55429985996179
2024-04-30,145.9467235544505
2024-05-31,104.30249962040966
2024-06-30,150.44272169277644
2024-07-31,226.68049762027724
2024-08-31,199.1104375392645
2024-09-30,114.52571385327428
2024-10-31,116.92420011984673
2024-11-30,41.30300128639792
2024-12-31,3.6973085262194036
2025-01-31,0.6039414739080449
2025-02-28,2.769563825488767
2025-03-31,70.27799498455771
2025-04-30,77.29073770619532
2025-05-31,131.54714225691032
2025-06-30,89.31848847741377
2025-07-31,147.32569619173418
2025-08-31,248.2310224269357
2025-09-30,196.21000605202664
2025-10-31,105.29683500472001
2025-11-30,17.47892503825324
2025-12-31,23.448189385297287
