date,precip_senegal
2018-01-31,0.0
2018-02-28,0.43033486763871986
2018-03-31,0.42940786527429975
2018-04-30,0.18491982395736223
2018-05-31,0.911876957179714
2018-06-30,40.71990530227626
2018-07-31,104.33989182762447
2018-08-31,152.4276032995169
2018-09-30,194.47498476289542
2018-10-31,39.18558815833074
2018-11-30,2.1454513940362108
2018-12-31,0.166633534482073
2019-01-31,1.647174954795971
2019-02-28,0.15080633158926834
2019-03-31,0.5472365459099944
2019-04-30,0.368411075663184
2019-05-31,0.09548680598648672
2019-06-30,13.083719941086548
2019-07-31,68.27438129423743
2019-08-31,204.25887047251803
2019-09-30,124.29411327614491
2019-10-31,53.67410526310204
2019-11-30,0.508261370523747
2019-12-31,0.40606688920424544
2020-01-31,0.1675006235245023
2020-02-29,24.550112682394065
2020-03-31,37.99011953294666
2020-04-30,20.626147116666203
2020-05-31,4.65187945294402
2020-06-30,34.20110695777013
2020-07-31,184.59404229226573
2020-08-31,189.03660298255306
2020-09-30,308.7995632737599
2020-10-31,61.43290624896114
2020-11-30,0.2539707411283889
2020-12-31,1.7685447239015706
2021-01-31,0.0
2021-02-28,0.8396805592393441
2021-03-31,0.2863502118431593
2021-04-30,0.11564154689853338
2021-05-31,0.6946003904979232
2021-06-30,69.32779177605347
2021-07-31,116.26820846235694
2021-08-31,326.2302573602955
2021-09-30,174.5650066652812
2021-10-31,41.21677884141005
2021-11-30,2.5595953144167236
2021-12-31,1.1681980392353248
2022-01-31,0.8102602744313759
2022-02-28,0.30220990922816726
2022-03-31,0.8586098110642743
2022-04-30,0.02312830937970668
2022-05-31,25.115623728064147
2022-06-30,63.76238009412528
2022-07-31,148.37601085153176
2022-08-31,244.37755238091935
2022-09-30,207.29544542523635
2022-10-31,56.98573099403743
2022-11-30,0.20794148225677772
2022-12-31,7.944762348759542
2023-01-31,1.5483529798239049
2023-02-28,0.4092461505923524
2023-03-31,0.23822108744286277
2023-04-30,0.27687873572737937
2023-05-31,2.4182005626327507
2023-06-30,44.31504697698125
2023-07-31,156.10123630882123
2023-08-31,207.90073086459486
2023-09-30,128.2044934811815
2023-10-31,47.883123606919625
2023-11-30,0.439502258652202
2023-12-31,0.5490215828932234
2024-01-31,0.3104698771014579
2024-02-29,0.0669690011568679
2024-03-31,0.0
2024-04-30,0.046149967679122175
2024-05-31,4.7900849828186685
2024-06-30,39.27343246152278
2024-07-31,147.23712691725962
2024-08-31,168.68465979557521
2024-09-30,211.7789514666096
2024-10-31,53.62486467289725
2024-11-30,0.3225165183523993
2024-12-31,2.3823660692939854
2025-01-31,0.0
2025-02-28,0.15100541360581182
2025-03-31,91.25148630291746
2025-04-30,0.5542050811493727
2025-05-31,13.626900282773379
2025-06-30,235.40008071070275
2025-07-31,287.35337574398625
2025-08-31,215.42472226529247
2025-09-30,110.20581174921956
2025-10-31,38.5988495744774
2025-11-30,1.8253678196310608
2025-12-31,1.3112411999181888
