date,temp_serbia
2018-01-31,1.0341904361325642
2018-02-28,-0.3419206858272739
2018-03-31,3.4649765096585843
2018-04-30,14.02223611734989
2018-05-31,17.263998222315845
2018-06-30,19.335009583894298
2018-07-31,20.34633622378033
2018-08-31,22.501551840837827
2018-09-30,17.386239153373868
2018-10-31,12.680268865356737
2018-11-30,5.757295268264491
2018-12-31,-0.7407646393320482
2019-01-31,-3.153957216318901
2019-02-28,1.0902570601071095
2019-03-31,6.577463680841385
2019-04-30,10.582291511915574
2019-05-31,12.916484836269236
2019-06-30,20.803139337721294
2019-07-31,21.861940790817247
2019-08-31,23.782788945548464
2019-09-30,18.101465093261954
2019-10-31,14.049554793342406
2019-11-30,9.48624714519387
2019-12-31,2.5091631188405907
2020-01-31,-0.8077951590622324
2020-02-29,3.333420134481924
2020-03-31,5.159924592091425
2020-04-30,9.509529877662661
2020-05-31,13.892123821775975
2020-06-30,17.953673140843737
2020-07-31,20.99413131976543
2020-08-31,21.663513520631383
2020-09-30,18.41437925707333
2020-10-31,11.917659694566792
2020-11-30,5.156850162228469
2020-12-31,2.869276733115927
2021-01-31,-0.9742357196133776
2021-02-28,3.0537930737794707
2021-03-31,2.700106052021305
2021-04-30,7.0545611090058316
2021-05-31,14.083281490365433
2021-06-30,20.242291474371132
2021-07-31,24.201041383875463
2021-08-31,22.60639012240605
2021-09-30,16.991425787485387
2021-10-31,8.673014463395088
2021-11-30,6.108799464531781
2021-12-31,-0.07632883721785277
2022-01-31,-2.111206754997316
2022-02-28,2.132992206142249
2022-03-31,2.2541678634751654
2022-04-30,8.934018135037164
2022-05-31,16.626774791864335
2022-06-30,21.469697973325815
2022-07-31,23.479409132170634
2022-08-31,22.893487424416232
2022-09-30,16.136048458011444
2022-10-31,12.944938860521232
2022-11-30,7.479452808587329
2022-12-31,3.7021120660825475
2023-01-31,2.4942080568969116
2023-02-28,0.8025170297622004
2023-03-31,6.111218321459353
2023-04-30,7.830381985498696
2023-05-31,14.28362304061753
2023-06-30,18.474658153879606
2023-07-31,23.294578743291112
2023-08-31,22.907173319722723
2023-09-30,20.049241442031033
2023-10-31,15.377766213679605
2023-11-30,6.677010884868984
2023-12-31,3.305682396093983
2024-01-31,0.17264353819439396
2024-02-29,6.062160861128265
2024-03-31,8.128905579630219
2024-04-30,12.645179656109862
2024-05-31,15.668640021557971
2024-06-30,23.315368702336187
2024-07-31,25.55580847497911
2024-08-31,25.811728637237344
2024-09-30,18.272651049401958
2024-10-31,12.770250876613273
2024-11-30,3.822367211205199
2024-12-31,0.42022347821708533
2025-01-31,1.2516585882356528
2025-02-28,-0.08507208261590224
2025-03-31,8.044379572477887
2025-04-30,10.823803766098358
2025-05-31,13.685019920245825
2025-06-30,22.72839817611574
2025-07-31,24.24759472363132
2025-08-31,22.837346355267176
2025-09-30,19.368657248810518
2025-10-31,9.514455235732248
2025-11-30,6.4064934003298575
2025-12-31,1.9899243007103755
