date,precip_cameroon
2018-01-31,5.446884783564364
2018-02-28,74.31854379991383
2018-03-31,69.83621100655182
2018-04-30,124.23013622680267
2018-05-31,167.49768197895006
2018-06-30,212.48222882366628
2018-07-31,264.61175199548455
2018-08-31,260.1716796377295
2018-09-30,239.72305209297846
2018-10-31,198.0563384291073
2018-11-30,82.77292756994993
2018-12-31,9.7765521829299
2019-01-31,13.623896852008468
2019-02-28,23.64881341817815
2019-03-31,48.639297115527356
2019-04-30,73.88156220494808
2019-05-31,82.6472947256121
2019-06-30,121.77239548470668
2019-07-31,245.01728774861604
2019-08-31,270.342282733705
2019-09-30,257.4818850633568
2019-10-31,262.77102624972105
2019-11-30,70.53252086506419
2019-12-31,8.120718240451433
2020-01-31,0.9777479873707359
2020-02-29,13.847269993796225
2020-03-31,295.75920077611727
2020-04-30,149.7787432561853
2020-05-31,196.4436375313664
2020-06-30,205.51223637375267
2020-07-31,274.6211866294862
2020-08-31,198.77475624245372
2020-09-30,283.60345388124847
2020-10-31,187.7507407232094
2020-11-30,74.46084836904713
2020-12-31,22.934366205891234
2021-01-31,11.020558253117136
2021-02-28,19.35407721112561
2021-03-31,104.19539073538802
2021-04-30,120.0434897626728
2021-05-31,201.7569746176129
2021-06-30,158.15684347310693
2021-07-31,132.5023510846874
2021-08-31,170.40985244589768
2021-09-30,237.84528245436584
2021-10-31,160.3190619657665
2021-11-30,83.70548809991183
2021-12-31,56.67536223598315
2022-01-31,6.315849195992409
2022-02-28,4.8746842208728705
2022-03-31,64.10246782043977
2022-04-30,123.7347655218141
2022-05-31,196.44124153791427
2022-06-30,148.05384154861275
2022-07-31,301.7621477507657
2022-08-31,322.37085209151473
2022-09-30,474.66877856646846
2022-10-31,253.33260542208404
2022-11-30,72.26991487608906
2022-12-31,21.07208772790966
2023-01-31,7.898764655951725
2023-02-28,16.919892160790944
2023-03-31,105.08863204468449
2023-04-30,131.252591320619
2023-05-31,142.96048300302965
2023-06-30,219.42487506101034
2023-07-31,145.38516655985367
2023-08-31,152.01029876314493
2023-09-30,153.32674153742116
2023-10-31,144.03627123789678
2023-11-30,82.17847073147088
2023-12-31,11.07747861420093
2024-01-31,0.8566621728706582
2024-02-29,7.539511770167674
2024-03-31,78.64020455693677
2024-04-30,125.99569012030727
2024-05-31,82.55992899445265
2024-06-30,155.00450985085726
2024-07-31,165.97287594978545
2024-08-31,153.8852355619958
2024-09-30,181.8191466843866
2024-10-31,175.17852959349696
2024-11-30,25.328783081507204
2024-12-31,7.415356780054204
2025-01-31,5.793124695525772
2025-02-28,8.283076120537984
2025-03-31,48.73911741331794
2025-04-30,78.52057144723376
2025-05-31,103.7376317152481
2025-06-30,162.6683606838834
2025-07-31,255.61427509182172
2025-08-31,135.98164688645423
2025-09-30,215.47037148925517
2025-10-31,159.45714398902822
2025-11-30,78.01613559384978
2025-12-31,16.49925026588856
