date,solar_ukraine
2018-01-31,29.0424979019486
2018-02-28,47.598409551174456
2018-03-31,85.8658375246882
2018-04-30,152.89460845504357
2018-05-31,196.1994574946404
2018-06-30,191.25096453228986
2018-07-31,174.0911653556977
2018-08-31,185.21566249102784
2018-09-30,110.45552950408337
2018-10-31,80.07129892903384
2018-11-30,34.27391836242169
2018-12-31,18.01460220581119
2019-01-31,32.007728776494034
2019-02-28,49.78474478854852
2019-03-31,94.26962844964834
2019-04-30,138.9826978874488
2019-05-31,163.38645031972325
2019-06-30,204.31748213002155
2019-07-31,183.4128630509786
2019-08-31,168.0075180140604
2019-09-30,117.55274401583227
2019-10-31,72.37355548715492
2019-11-30,31.8158973892512
2019-12-31,22.292503029902385
2020-01-31,28.108008957412967
2020-02-29,51.06699741633385
2020-03-31,105.51728884442775
2020-04-30,159.94262129119195
2020-05-31,146.91391234379822
2020-06-30,188.1196145075116
2020-07-31,190.71729602404304
2020-08-31,175.22628327105932
2020-09-30,125.91118618500265
2020-10-31,64.90754281266311
2020-11-30,27.621049325106796
2020-12-31,19.089268484823112
2021-01-31,26.573829069835234
2021-02-28,48.57895256258104
2021-03-31,89.75891898761166
2021-04-30,120.2476150576026
2021-05-31,164.308725627033
2021-06-30,177.31522038102113
2021-07-31,194.97235062164793
2021-08-31,155.9583870385969
2021-09-30,108.76841889655276
2021-10-31,82.01437303138893
2021-11-30,35.10431511313437
2021-12-31,18.84024613281566
2022-01-31,27.647864381527782
2022-02-28,52.3509476135586
2022-03-31,106.13627914153315
2022-04-30,110.09544205597518
2022-05-31,178.76211665745768
2022-06-30,198.67636639667074
2022-07-31,189.34234378806815
2022-08-31,149.72828506381614
2022-09-30,89.76562965948189
2022-10-31,71.70348414131468
2022-11-30,28.41841732112426
2022-12-31,21.1994681592172
2023-01-31,26.22103097861285
2023-02-28,49.58940883287224
2023-03-31,85.25825358961818
2023-04-30,97.64237528233807
2023-05-31,178.12738269762423
2023-06-30,175.70809178266262
2023-07-31,183.0969288552445
2023-08-31,175.68406782418245
2023-09-30,129.4635763231067
2023-10-31,71.28507934557723
2023-11-30,31.390536316116
2023-12-31,20.91564895340809
2024-01-31,29.588739253514944
2024-02-29,47.933753346566434
2024-03-31,88.22354929026298
2024-04-30,134.26787007829097
2024-05-31,193.6800906631335
2024-06-30,191.86699956174098
2024-07-31,199.65521662957826
2024-08-31,170.4057835795428
2024-09-30,120.2120030454156
2024-10-31,68.06031222858724
2024-11-30,32.06087125031621
2024-12-31,19.24390686347151
2025-01-31,27.851980021069913
2025-02-28,60.53561917658395
2025-03-31,94.23634245220109
2025-04-30,144.58340054618947
2025-05-31,151.23912258645575
2025-06-30,186.92568375276682
2025-07-31,188.81305260268329
2025-08-31,173.29707073543
2025-09-30,121.8292416167153
2025-10-31,54.88598532632108
2025-11-30,28.179069820633547
2025-12-31,23.7410229565057
