date,temp_kazakhstan
2018-01-31,-16.57397698708706
2018-02-28,-10.153220316577464
2018-03-31,-2.2229541475937715
2018-04-30,7.432519061956715
2018-05-31,14.335998648864816
2018-06-30,21.42340724406586
2018-07-31,25.737162078620447
2018-08-31,22.156178828067308
2018-09-30,14.863342710188611
2018-10-31,7.0416563253862
2018-11-30,-4.627822929324154
2018-12-31,-11.765205077527256
2019-01-31,-11.372606226569573
2019-02-28,-10.251536316170192
2019-03-31,0.7235238864190059
2019-04-30,8.3725790355297
2019-05-31,15.996877103684792
2019-06-30,21.968277703786715
2019-07-31,26.021282938307376
2019-08-31,22.47324903021533
2019-09-30,14.435520523748147
2019-10-31,8.208002448531133
2019-11-30,-4.8769735044798574
2019-12-31,-6.705920754101996
2020-01-31,-8.48127575481757
2020-02-29,-5.155565070666064
2020-03-31,0.4175317081148938
2020-04-30,10.007827481263948
2020-05-31,18.595937966180067
2020-06-30,22.218642800125842
2020-07-31,25.497124798098408
2020-08-31,22.308766278020112
2020-09-30,14.208104632281094
2020-10-31,6.302148431893218
2020-11-30,-3.631304100647467
2020-12-31,-12.583428633788692
2021-01-31,-12.78004412399853
2021-02-28,-8.312585395410016
2021-03-31,-3.269166339679962
2021-04-30,8.685499926783116
2021-05-31,19.668400820155753
2021-06-30,23.218599435042748
2021-07-31,25.995906470406315
2021-08-31,24.72434738044187
2021-09-30,14.940928738949811
2021-10-31,5.214254672863335
2021-11-30,-3.2947958385043212
2021-12-31,-7.054352319189032
2022-01-31,-9.486626712050773
2022-02-28,-6.746280597184833
2022-03-31,-2.4533706852078656
2022-04-30,11.620892127955951
2022-05-31,16.92439409578003
2022-06-30,23.567658893892034
2022-07-31,25.163126721213896
2022-08-31,22.672639854310514
2022-09-30,17.527105766090195
2022-10-31,7.079627046668545
2022-11-30,-3.045836544748898
2022-12-31,-11.831892897390608
2023-01-31,-12.869864524232561
2023-02-28,-8.169588938084217
2023-03-31,2.077587849457129
2023-04-30,8.950055414585664
2023-05-31,16.69898228517012
2023-06-30,23.222544335299826
2023-07-31,26.922336626389484
2023-08-31,23.438889007849905
2023-09-30,15.370944154221293
2023-10-31,8.446748121324985
2023-11-30,2.3794658490727385
2023-12-31,-7.86071951810851
2024-01-31,-10.876380065188213
2024-02-29,-10.715439926753767
2024-03-31,-1.2962709756642132
2024-04-30,11.120461010934164
2024-05-31,14.863030268914716
2024-06-30,23.989273547971788
2024-07-31,24.516212577148018
2024-08-31,23.142964196596328
2024-09-30,14.346446335875648
2024-10-31,7.228819980040765
2024-11-30,-1.5699080061122805
2024-12-31,-8.03641008826477
2025-01-31,-8.742000697176055
2025-02-28,-8.041953648682206
2025-03-31,0.3430894227483496
2025-04-30,12.085579380048884
2025-05-31,18.87689983986985
2025-06-30,23.913747123078288
2025-07-31,25.744608103252897
2025-08-31,22.633567319956565
2025-09-30,15.752285948491545
2025-10-31,6.7306537942862095
2025-11-30,0.7982212882201596
2025-12-31,-6.812719517583482
