date,temp_ukraine
2018-01-31,-3.3064069822187645
2018-02-28,-4.621246835130847
2018-03-31,-2.178289043785077
2018-04-30,11.479080120712185
2018-05-31,17.351691021040864
2018-06-30,20.46501268775246
2018-07-31,22.18677219895622
2018-08-31,22.96289330190337
2018-09-30,17.24413913688895
2018-10-31,10.699488238254657
2018-11-30,0.2238126711997802
2018-12-31,-4.334774714830178
2019-01-31,-6.508890172717738
2019-02-28,-1.7040763753706594
2019-03-31,3.2449818211950348
2019-04-30,9.503796688868302
2019-05-31,16.32869886283851
2019-06-30,22.915096745017674
2019-07-31,21.064356110557448
2019-08-31,21.707261530167262
2019-09-30,16.402092439048335
2019-10-31,10.854557662008709
2019-11-30,4.482450096734175
2019-12-31,1.1384689285982774
2020-01-31,-1.2426412344767357
2020-02-29,0.24125406609135996
2020-03-31,4.990798996568783
2020-04-30,7.857236400474866
2020-05-31,12.702023538504756
2020-06-30,20.853275333781884
2020-07-31,22.16265885615494
2020-08-31,21.91279194236529
2020-09-30,18.31099855559254
2020-10-31,12.402040381039479
2020-11-30,2.686705717566892
2020-12-31,-2.279971738420008
2021-01-31,-3.624208270004716
2021-02-28,-5.54047785028183
2021-03-31,0.794597958061218
2021-04-30,6.777537813258017
2021-05-31,14.088580731619222
2021-06-30,19.699626877677535
2021-07-31,24.13002184104302
2021-08-31,22.047684945440214
2021-09-30,13.926250451157879
2021-10-31,7.485039290106587
2021-11-30,3.686209623007694
2021-12-31,-2.4720415212514784
2022-01-31,-3.4207612802876084
2022-02-28,-0.1923434733113065
2022-03-31,0.5937662012033108
2022-04-30,8.244982364860872
2022-05-31,13.74987453991999
2022-06-30,20.9603025506681
2022-07-31,21.843882624816107
2022-08-31,23.499882716334394
2022-09-30,13.944218264185618
2022-10-31,9.93485380779011
2022-11-30,2.649522206007324
2022-12-31,-2.028684409383039
2023-01-31,-1.687617615718707
2023-02-28,-2.0883842506772865
2023-03-31,3.9253332568276926
2023-04-30,8.792169531446088
2023-05-31,14.10861337043787
2023-06-30,18.71413946571313
2023-07-31,21.458918884174395
2023-08-31,23.30167618166517
2023-09-30,18.434854037684808
2023-10-31,11.247585353700876
2023-11-30,3.813455369211118
2023-12-31,-1.1974725363768475
2024-01-31,-4.152246645084624
2024-02-29,1.749540488421914
2024-03-31,3.9343633850757
2024-04-30,12.362551069543638
2024-05-31,14.588787292522806
2024-06-30,21.407788609027993
2024-07-31,24.935106338403003
2024-08-31,23.651837235263372
2024-09-30,19.76376090519957
2024-10-31,10.38060405226123
2024-11-30,1.5467902633007011
2024-12-31,-1.1149505151595676
2025-01-31,0.2667042580704094
2025-02-28,-4.799971058167701
2025-03-31,5.6696533977625725
2025-04-30,10.104836754993581
2025-05-31,13.505038720002487
2025-06-30,19.559556605442225
2025-07-31,23.655228039948568
2025-08-31,21.13254423999224
2025-09-30,16.80228320999309
2025-10-31,8.527317652180974
2025-11-30,5.4793994250177205
2025-12-31,-0.6517796795450259
