date;humidity_kenya
1/31/2018;44.49925284
2/28/2018;47.89188615
3/31/2018;66.62918241
4/30/2018;77.86680212
5/31/2018;77.32476499
6/30/2018;72.04702131
7/31/2018;66.95396482
8/31/2018;61.1144146
9/30/2018;56.92182334
10/31/2018;60.07670038
11/30/2018;61.90357996
12/31/2018;61.40572355
1/31/2019;49.70668861
2/28/2019;47.92735535
3/31/2019;47.25062905
4/30/2019;57.58809013
5/31/2019;66.33691288
6/30/2019;64.93391398
7/31/2019;61.9454928
8/31/2019;59.48792884
9/30/2019;57.47687555
10/31/2019;71.90888528
11/30/2019;74.06422554
12/31/2019;74.43087982
1/31/2020;67.16051518
2/29/2020;60.90455684
3/31/2020;65.04818347
4/30/2020;72.73892736
5/31/2020;74.42512377
6/30/2020;69.06858186
7/31/2020;64.72063039
8/31/2020;63.12313865
9/30/2020;59.54638349
10/31/2020;59.94181528
11/30/2020;68.08577403
12/31/2020;57.66119487
1/31/2021;59.52932416
2/28/2021;53.37567606
3/31/2021;53.51654771
4/30/2021;64.49163837
5/31/2021;66.89340883
6/30/2021;63.04183603
7/31/2021;61.97739946
8/31/2021;57.13958925
9/30/2021;56.52747972
10/31/2021;55.27518689
11/30/2021;57.70498524
12/31/2021;71.45845947
1/31/2022;59.93564705
2/28/2022;53.12396264
3/31/2022;50.77868571
4/30/2022;61.78315136
5/31/2022;68.20701352
6/30/2022;62.74710732
7/31/2022;62.48878266
8/31/2022;62.50821385
9/30/2022;59.82461487
10/31/2022;55.66010179
11/30/2022;64.53623246
12/31/2022;58.16734787
1/31/2023;49.95613071
2/28/2023;43.99585913
3/31/2023;56.67301436
4/30/2023;73.30578427
5/31/2023;70.85591929
6/30/2023;70.59852757
7/31/2023;66.78116134
8/31/2023;61.35372649
9/30/2023;57.85469886
10/31/2023;62.51084423
11/30/2023;79.00189958
12/31/2023;71.51092634
1/31/2024;62.13991176
2/29/2024;60.7064865
3/31/2024;59.87677721
4/30/2024;74.90230953
5/31/2024;72.88229893
6/30/2024;64.56870249
7/31/2024;64.06395725
8/31/2024;61.99230399
9/30/2024;56.20204638
10/31/2024;55.14622794
11/30/2024;67.1549454
12/31/2024;58.23568496
1/31/2025;48.10855456
2/28/2025;45.68858431
3/31/2025;59.05003517
4/30/2025;71.71086202
5/31/2025;70.37213681
6/30/2025;65.56572297
7/31/2025;62.78937812
8/31/2025;62.99313482
9/30/2025;57.14544258
10/31/2025;57.95318547
11/30/2025;59.97104693
12/31/2025;56.35759954
