date;temperature;humidity;solar;precipitation;Area
1/31/2018;16.71348544;43.95616523;135.6321825;2.224161703;India
2/28/2018;20.53366155;41.60173136;140.7869513;8.802759922;India
3/31/2018;25.2008619;35.29372074;182.1659378;12.82069899;India
4/30/2018;28.80023292;39.63703345;190.8920544;38.01865862;India
5/31/2018;30.7939822;43.79695155;195.2642631;58.00818695;India
6/30/2018;29.65251571;60.19061137;159.9993651;141.6520093;India
7/31/2018;27.01369857;76.51025934;127.3578232;273.2468021;India
8/31/2018;26.01503368;80.45919715;126.2458457;227.392793;India
9/30/2018;25.15075956;77.46619916;146.8483984;124.0998127;India
10/31/2018;23.62672814;63.39367952;158.2028786;29.09152463;India
11/30/2018;20.76033011;56.11812881;130.3557293;16.60382456;India
12/31/2018;16.72529032;52.3364703;119.3225105;15.20087343;India
1/31/2019;15.98735214;47.72155802;131.6920812;12.83312191;India
2/28/2019;19.26061317;46.85166268;137.0969751;23.33912702;India
3/31/2019;23.71880598;40.92147239;185.3241882;14.41989654;India
4/30/2019;29.22154289;38.32411454;196.068148;30.09094241;India
5/31/2019;31.01827377;40.49381444;206.2190629;50.60077348;India
6/30/2019;30.96540376;53.59551771;173.177916;108.6361882;India
7/31/2019;27.57608453;74.65976859;139.4314153;285.9054441;India
8/31/2019;26.16381095;81.99212399;134.6588569;282.6874303;India
9/30/2019;25.40846714;83.43730279;126.9979229;256.1187075;India
10/31/2019;22.96087121;78.3078388;137.7730601;105.6075777;India
11/30/2019;19.964906;76.21027308;121.7136855;27.86873867;India
12/31/2019;15.67686277;71.92796633;108.9452104;17.14466017;India
1/31/2020;15.30922527;67.72775364;121.7890334;23.53621563;India
2/29/2020;18.36039356;53.82621871;142.5015169;15.47470979;India
3/31/2020;22.90717112;52.32962375;175.9599007;41.74200728;India
4/30/2020;27.82221003;43.83419325;190.2875586;47.41422334;India
5/31/2020;30.34645225;46.32525975;201.2946128;81.34550723;India
6/30/2020;28.24428895;67.67306842;157.4522099;205.8202488;India
7/31/2020;27.02301378;78.43315632;148.7473467;262.0965988;India
8/31/2020;26.2237282;83.60019005;131.5464462;310.6959456;India
9/30/2020;25.64657822;81.06206031;140.9962179;180.2607394;India
10/31/2020;23.93257389;70.86169861;146.343779;89.36763768;India
11/30/2020;19.38732867;66.91678266;126.3985924;36.30448357;India
12/31/2020;16.55992559;62.81963605;119.7545424;14.07176618;India
1/31/2021;16.98753381;57.65785216;119.665898;19.3173752;India
2/28/2021;19.91708809;43.88065422;144.9082691;6.539842267;India
3/31/2021;25.28767416;36.29064251;183.1546663;12.40519593;India
4/30/2021;28.29622646;36.01737582;190.6571019;26.97325602;India
5/31/2021;29.03995945;52.94470046;180.4685757;122.3724077;India
6/30/2021;28.03715344;68.24484117;156.80143;182.6852244;India
7/31/2021;27.15778858;77.31118314;139.0930651;269.3396829;India
8/31/2021;26.16571321;80.32132615;139.6593071;187.0426269;India
9/30/2021;25.4389205;83.49649873;132.7851477;222.7259179;India
10/31/2021;23.38815917;76.69546391;147.8270189;95.98933506;India
11/30/2021;19.473237;71.75590993;116.6870594;56.05920781;India
12/31/2021;16.29447174;68.46806091;113.3293198;21.91658435;India
1/31/2022;15.31952246;68.09536166;120.1368403;35.20322124;India
2/28/2022;18.15069665;54.45415214;142.4827425;19.79198015;India
3/31/2022;25.39519259;39.80905195;184.1097728;7.999516061;India
4/30/2022;29.89641108;36.47183238;190.7546908;34.00499748;India
5/31/2022;30.5952322;47.01638432;188.0935548;80.40789103;India
6/30/2022;29.42688019;58.91153931;163.0939538;156.0946707;India
7/31/2022;26.73753842;79.58497175;137.48041;317.4786777;India
8/31/2022;25.79938128;83.35478216;139.2767308;275.4267829;India
9/30/2022;25.29035793;82.84382127;137.8837592;182.4367428;India
10/31/2022;22.63753367;76.55530166;146.1656875;111.3967479;India
11/30/2022;19.0393621;69.1890816;131.0402946;16.86763101;India
12/31/2022;17.36615899;64.07817309;120.4304703;15.07982976;India
1/31/2023;16.09436597;56.89938783;126.4994441;9.955805061;India
2/28/2023;20.35600083;41.2103595;151.444272;5.149604098;India
3/31/2023;23.87293453;46.43636695;166.976269;42.31912797;India
4/30/2023;27.34166147;42.86231656;184.6667158;45.56971024;India
5/31/2023;29.16695029;48.76732352;196.9853349;66.99969436;India
6/30/2023;29.87047385;57.79805112;167.5506284;153.2917693;India
7/31/2023;26.97306341;79.71151055;135.3542141;305.0337813;India
8/31/2023;26.25293994;80.51473057;140.2958312;167.1661965;India
9/30/2023;25.88074078;79.91799865;137.1505312;189.0553749;India
10/31/2023;23.54893341;69.63031884;154.5053332;45.09381987;India
11/30/2023;20.70856609;66.00383205;117.1863539;38.27888514;India
12/31/2023;17.55010893;63.68068448;112.3177788;27.30740808;India
1/31/2024;16.69264294;56.45720751;115.5292012;8.183173551;India
2/29/2024;19.61423681;48.14897193;140.4750141;16.44471996;India
3/31/2024;24.09919715;41.56169182;178.1162085;29.16772949;India
4/30/2024;29.06546034;38.48675915;182.1378641;24.35362941;India
5/31/2024;31.21173643;43.47450741;193.8046613;68.88636379;India
6/30/2024;30.23238023;58.86880181;159.4614159;168.1318345;India
7/31/2024;27.45798418;78.60787673;128.5289765;310.4270818;India
8/31/2024;26.14299342;84.25799144;131.4314199;299.4701066;India
9/30/2024;25.69432231;83.26364169;136.1405719;200.3193417;India
10/31/2024;24.21973721;77.60541781;141.5905901;77.10114602;India
11/30/2024;20.09136822;69.22051102;123.5760299;14.45901899;India
12/31/2024;16.91205979;65.35752163;112.3403654;26.43279732;India
