date;precipitation;humidity;solar;temperature;area
6/30/2024;39.27343246;49.56643657;192.5467447;31.76329075;Senegal
7/31/2024;147.2371269;69.48525908;171.1361521;29.62114494;Senegal
8/31/2024;168.6846598;77.26303813;171.9506761;28.6675745;Senegal
9/30/2024;211.7789515;79.73978873;153.6339222;27.9528898;Senegal
10/31/2024;53.62486467;72.65843202;171.5375672;28.09960736;Senegal
11/30/2024;0.322516518;53.67318211;169.891545;26.47782651;Senegal
12/31/2024;2.382366069;38.27760458;139.2565209;24.22923284;Senegal
1/31/2025;0;26.45064082;172.3554035;24.25012056;Senegal
2/28/2025;0.151005414;24.58748864;170.3481932;25.86533486;Senegal
3/31/2025;91.2514863;33.42230469;204.030542;28.9266701;Senegal
4/30/2025;0.554205081;38.22462837;205.0560592;31.2156736;Senegal
5/31/2025;13.62690028;38.89973576;195.3076893;32.80720897;Senegal
6/30/2025;235.4000807;57.65136506;195.4047663;30.92952924;Senegal
7/31/2025;287.3533757;75.07528534;185.2001062;28.40443962;Senegal
8/31/2025;215.4247223;80.67510871;170.092438;28.01480375;Senegal
9/30/2025;110.2058117;79.668942;165.5282771;28.23386927;Senegal
10/31/2025;38.59884957;69.28213983;182.7901516;28.71144772;Senegal
11/30/2025;1.82536782;50.82808294;142.1507918;26.78255031;Senegal
12/31/2025;1.3112412;38.821888;156.0021742;23.44954355;Senegal
