date;temperature;solar;precipitation;humidity;Area
6/30/2024;23.17506913;231.5219237;13.3712921;51.95317758;Turkey
7/31/2024;24.60845062;220.5394653;35.39458679;53.74303938;Turkey
8/31/2024;24.75075495;208.3551661;13.09206631;49.7564474;Turkey
9/30/2024;20.44425331;152.0631453;41.82675375;59.03215335;Turkey
10/31/2024;13.50709473;123.6416098;31.86198178;60.57964974;Turkey
11/30/2024;6.498593863;77.94742565;60.58163766;72.37872841;Turkey
12/31/2024;3.185512795;60.38196035;86.79385911;82.5467471;Turkey
1/31/2025;3.124365712;78.84617906;37.16749;77.61677117;Turkey
2/28/2025;-0.811879011;94.72904487;51.03046543;77.82957153;Turkey
3/31/2025;7.775557933;151.6591135;37.52739922;67.46873468;Turkey
4/30/2025;9.382443697;164.9697857;69.18104588;71.61375409;Turkey
5/31/2025;15.72120237;206.6127863;44.80054004;62.16394451;Turkey
6/30/2025;20.51800683;234.4141915;12.48151168;50.67577287;Turkey
7/31/2025;25.30708408;233.903823;9.004155594;45.69341347;Turkey
8/31/2025;24.82771668;213.9599886;7.84122809;46.85779489;Turkey
9/30/2025;19.51315643;163.1216347;29.24545904;52.84830432;Turkey
10/31/2025;13.33486209;117.974835;58.94036011;65.4974234;Turkey
11/30/2025;10.3818265;84.50335315;37.39572381;64.92735786;Turkey
12/31/2025;3.201118479;61.88347386;77.55167338;79.45882282;Turkey
