entity,entity code,date,series,generation_TWh
Argentina,ARG,01/03/2019,Bioenergy,0.04
Argentina,ARG,01/03/2019,Coal,0.0
Argentina,ARG,01/03/2019,Gas,6.14
Argentina,ARG,01/03/2019,Hydro,3.07
Argentina,ARG,01/03/2019,Nuclear,0.53
Argentina,ARG,01/03/2019,Other Fossil,0.09
Argentina,ARG,01/03/2019,Solar,0.05
Argentina,ARG,01/03/2019,Wind,0.31
Argentina,ARG,01/03/2019,Total Generation,10.23
Argentina,ARG,01/04/2019,Bioenergy,0.03
Argentina,ARG,01/04/2019,Coal,0.0
Argentina,ARG,01/04/2019,Gas,5.73
Argentina,ARG,01/04/2019,Hydro,2.86
Argentina,ARG,01/04/2019,Nuclear,0.64
Argentina,ARG,01/04/2019,Other Fossil,0.1
Argentina,ARG,01/04/2019,Solar,0.05
Argentina,ARG,01/04/2019,Wind,0.33
Argentina,ARG,01/04/2019,Total Generation,9.74
Argentina,ARG,01/05/2019,Bioenergy,0.04
Argentina,ARG,01/05/2019,Coal,0.08
Argentina,ARG,01/05/2019,Gas,5.81
Argentina,ARG,01/05/2019,Hydro,3.13
Argentina,ARG,01/05/2019,Nuclear,0.84
Argentina,ARG,01/05/2019,Other Fossil,0.18
Argentina,ARG,01/05/2019,Solar,0.04
Argentina,ARG,01/05/2019,Wind,0.33
Argentina,ARG,01/05/2019,Total Generation,10.45
Argentina,ARG,01/06/2019,Bioenergy,0.06
Argentina,ARG,01/06/2019,Coal,0.14
Argentina,ARG,01/06/2019,Gas,6.32
Argentina,ARG,01/06/2019,Hydro,2.97
Argentina,ARG,01/06/2019,Nuclear,0.74
Argentina,ARG,01/06/2019,Other Fossil,0.17
Argentina,ARG,01/06/2019,Solar,0.04
Argentina,ARG,01/06/2019,Wind,0.41
Argentina,ARG,01/06/2019,Total Generation,10.85
Argentina,ARG,01/07/2019,Bioenergy,0.06
Argentina,ARG,01/07/2019,Coal,0.3
Argentina,ARG,01/07/2019,Gas,7.38
Argentina,ARG,01/07/2019,Hydro,3.18
Argentina,ARG,01/07/2019,Nuclear,0.74
Argentina,ARG,01/07/2019,Other Fossil,0.19
Argentina,ARG,01/07/2019,Solar,0.05
Argentina,ARG,01/07/2019,Wind,0.42
Argentina,ARG,01/07/2019,Total Generation,12.32
Argentina,ARG,01/08/2019,Bioenergy,0.06
Argentina,ARG,01/08/2019,Coal,0.0
Argentina,ARG,01/08/2019,Gas,6.69
Argentina,ARG,01/08/2019,Hydro,3.33
Argentina,ARG,01/08/2019,Nuclear,0.87
Argentina,ARG,01/08/2019,Other Fossil,0.13
Argentina,ARG,01/08/2019,Solar,0.07
Argentina,ARG,01/08/2019,Wind,0.45
Argentina,ARG,01/08/2019,Total Generation,11.6
Argentina,ARG,01/09/2019,Bioenergy,0.06
Argentina,ARG,01/09/2019,Coal,0.17
Argentina,ARG,01/09/2019,Gas,5.74
Argentina,ARG,01/09/2019,Hydro,3.03
Argentina,ARG,01/09/2019,Nuclear,0.87
Argentina,ARG,01/09/2019,Other Fossil,0.13
Argentina,ARG,01/09/2019,Solar,0.09
Argentina,ARG,01/09/2019,Wind,0.53
Argentina,ARG,01/09/2019,Total Generation,10.62
Argentina,ARG,01/10/2019,Bioenergy,0.06
Argentina,ARG,01/10/2019,Coal,0.04
Argentina,ARG,01/10/2019,Gas,6.11
Argentina,ARG,01/10/2019,Hydro,2.87
Argentina,ARG,01/10/2019,Nuclear,0.71
Argentina,ARG,01/10/2019,Other Fossil,0.19
Argentina,ARG,01/10/2019,Solar,0.1
Argentina,ARG,01/10/2019,Wind,0.52
Argentina,ARG,01/10/2019,Total Generation,10.6
Argentina,ARG,01/11/2019,Bioenergy,0.05
Argentina,ARG,01/11/2019,Coal,0.02
Argentina,ARG,01/11/2019,Gas,5.99
Argentina,ARG,01/11/2019,Hydro,3.0
Argentina,ARG,01/11/2019,Nuclear,0.76
Argentina,ARG,01/11/2019,Other Fossil,0.15
Argentina,ARG,01/11/2019,Solar,0.11
Argentina,ARG,01/11/2019,Wind,0.57
Argentina,ARG,01/11/2019,Total Generation,10.65
Argentina,ARG,01/12/2019,Bioenergy,0.05
Argentina,ARG,01/12/2019,Coal,0.21
Argentina,ARG,01/12/2019,Gas,6.59
Argentina,ARG,01/12/2019,Hydro,3.05
Argentina,ARG,01/12/2019,Nuclear,0.73
Argentina,ARG,01/12/2019,Other Fossil,0.16
Argentina,ARG,01/12/2019,Solar,0.12
Argentina,ARG,01/12/2019,Wind,0.6
Argentina,ARG,01/12/2019,Total Generation,11.51
Argentina,ARG,01/01/2020,Bioenergy,0.04
Argentina,ARG,01/01/2020,Coal,0.06
Argentina,ARG,01/01/2020,Gas,7.41
Argentina,ARG,01/01/2020,Hydro,3.15
Argentina,ARG,01/01/2020,Nuclear,0.79
