entity,entity code,date,series,generation_TWh
Australia,AUS,2018-07-01,Solar,0.69
Australia,AUS,2018-07-01,Wind,1.75
Australia,AUS,2018-07-01,Total Generation,19.75
Australia,AUS,2018-07-01,Net Imports,0.0
Australia,AUS,2018-08-01,Demand,19.52
Australia,AUS,2018-08-01,Clean,4.67
Australia,AUS,2018-08-01,Fossil,14.85
Australia,AUS,2018-08-01,Gas and Other Fossil,2.05
Australia,AUS,2018-08-01,"Hydro, Bioenergy and Other Renewables",2.0
Australia,AUS,2018-08-01,Renewables,4.67
Australia,AUS,2018-08-01,Wind and Solar,2.67
Australia,AUS,2018-08-01,Bioenergy,0.05
Australia,AUS,2018-08-01,Coal,12.8
Australia,AUS,2018-08-01,Gas,2.05
Australia,AUS,2018-08-01,Hydro,1.95
Australia,AUS,2018-08-01,Other Fossil,0.0
Australia,AUS,2018-08-01,Solar,0.9
Australia,AUS,2018-08-01,Wind,1.77
Australia,AUS,2018-08-01,Total Generation,19.52
Australia,AUS,2018-08-01,Net Imports,0.0
Australia,AUS,2018-09-01,Demand,17.78
Australia,AUS,2018-09-01,Clean,3.94
Australia,AUS,2018-09-01,Fossil,13.84
Australia,AUS,2018-09-01,Gas and Other Fossil,1.87
Australia,AUS,2018-09-01,"Hydro, Bioenergy and Other Renewables",1.54
Australia,AUS,2018-09-01,Renewables,3.94
Australia,AUS,2018-09-01,Wind and Solar,2.4
Australia,AUS,2018-09-01,Bioenergy,0.05
Australia,AUS,2018-09-01,Coal,11.97
Australia,AUS,2018-09-01,Gas,1.87
Australia,AUS,2018-09-01,Hydro,1.49
Australia,AUS,2018-09-01,Other Fossil,0.0
Australia,AUS,2018-09-01,Solar,1.07
Australia,AUS,2018-09-01,Wind,1.33
Australia,AUS,2018-09-01,Total Generation,17.78
Australia,AUS,2018-09-01,Net Imports,0.0
Australia,AUS,2018-10-01,Demand,17.72
Australia,AUS,2018-10-01,Clean,3.62
Australia,AUS,2018-10-01,Fossil,14.1
Australia,AUS,2018-10-01,Gas and Other Fossil,1.63
Australia,AUS,2018-10-01,"Hydro, Bioenergy and Other Renewables",1.11
Australia,AUS,2018-10-01,Renewables,3.62
Australia,AUS,2018-10-01,Wind and Solar,2.51
Australia,AUS,2018-10-01,Bioenergy,0.04
Australia,AUS,2018-10-01,Coal,12.47
Australia,AUS,2018-10-01,Gas,1.63
Australia,AUS,2018-10-01,Hydro,1.07
Australia,AUS,2018-10-01,Other Fossil,0.0
Australia,AUS,2018-10-01,Solar,1.17
Australia,AUS,2018-10-01,Wind,1.34
Australia,AUS,2018-10-01,Total Generation,17.72
Australia,AUS,2018-10-01,Net Imports,0.0
Australia,AUS,2018-11-01,Demand,17.59
Australia,AUS,2018-11-01,Clean,3.89
Australia,AUS,2018-11-01,Fossil,13.7
Australia,AUS,2018-11-01,Gas and Other Fossil,1.7
Australia,AUS,2018-11-01,"Hydro, Bioenergy and Other Renewables",1.2
Australia,AUS,2018-11-01,Renewables,3.89
Australia,AUS,2018-11-01,Wind and Solar,2.69
Australia,AUS,2018-11-01,Bioenergy,0.04
Australia,AUS,2018-11-01,Coal,12.0
Australia,AUS,2018-11-01,Gas,1.7
Australia,AUS,2018-11-01,Hydro,1.16
Australia,AUS,2018-11-01,Other Fossil,0.0
Australia,AUS,2018-11-01,Solar,1.38
Australia,AUS,2018-11-01,Wind,1.31
Australia,AUS,2018-11-01,Total Generation,17.59
Australia,AUS,2018-11-01,Net Imports,0.0
Australia,AUS,2018-12-01,Demand,18.89
Australia,AUS,2018-12-01,Clean,4.16
Australia,AUS,2018-12-01,Fossil,14.73
Australia,AUS,2018-12-01,Gas and Other Fossil,1.67
Australia,AUS,2018-12-01,"Hydro, Bioenergy and Other Renewables",1.24
Australia,AUS,2018-12-01,Renewables,4.16
Australia,AUS,2018-12-01,Wind and Solar,2.92
Australia,AUS,2018-12-01,Bioenergy,0.03
Australia,AUS,2018-12-01,Coal,13.06
Australia,AUS,2018-12-01,Gas,1.67
Australia,AUS,2018-12-01,Hydro,1.21
Australia,AUS,2018-12-01,Other Fossil,0.0
Australia,AUS,2018-12-01,Solar,1.54
Australia,AUS,2018-12-01,Wind,1.38
Australia,AUS,2018-12-01,Total Generation,18.89
Australia,AUS,2018-12-01,Net Imports,0.0
Australia,AUS,2019-01-01,Demand,20.66
Australia,AUS,2019-01-01,Clean,4.11
Australia,AUS,2019-01-01,Fossil,16.55
Australia,AUS,2019-01-01,Gas and Other Fossil,2.58
Australia,AUS,2019-01-01,"Hydro, Bioenergy and Other Renewables",1.18
Australia,AUS,2019-01-01,Renewables,4.11
Australia,AUS,2019-01-01,Wind and Solar,2.93
Australia,AUS,2019-01-01,Bioenergy,0.03
Australia,AUS,2019-01-01,Coal,13.97
Australia,AUS,2019-01-01,Gas,2.58
Australia,AUS,2019-01-01,Hydro,1.15
Australia,AUS,2019-01-01,Other Fossil,0.0
Australia,AUS,2019-01-01,Solar,1.61
Australia,AUS,2019-01-01,Wind,1.32
Australia,AUS,2019-01-01,Total Generation,20.66
Australia,AUS,2019-01-01,Net Imports,0.0
Australia,AUS,2019-02-01,Demand,17.87
Australia,AUS,2019-02-01,Clean,3.54
Australia,AUS,2019-02-01,Fossil,14.33
Australia,AUS,2019-02-01,Gas and Other Fossil,2.16
Australia,AUS,2019-02-01,"Hydro, Bioenergy and Other Renewables",0.78
Australia,AUS,2019-02-01,Renewables,3.54
Australia,AUS,2019-02-01,Wind and Solar,2.76
Australia,AUS,2019-02-01,Bioenergy,0.03
Australia,AUS,2019-02-01,Coal,12.17
Australia,AUS,2019-02-01,Gas,2.16
Australia,AUS,2019-02-01,Hydro,0.75
Australia,AUS,2019-02-01,Other Fossil,0.0
Australia,AUS,2019-02-01,Solar,1.39
Australia,AUS,2019-02-01,Wind,1.37
Australia,AUS,2019-02-01,Total Generation,17.87
Australia,AUS,2019-02-01,Net Imports,0.0
Australia,AUS,2019-03-01,Demand,19.15
Australia,AUS,2019-03-01,Clean,3.53
Australia,AUS,2019-03-01,Fossil,15.62
Australia,AUS,2019-03-01,Gas and Other Fossil,2.4
Australia,AUS,2019-03-01,"Hydro, Bioenergy and Other Renewables",0.84
Australia,AUS,2019-03-01,Renewables,3.53
Australia,AUS,2019-03-01,Wind and Solar,2.69
Australia,AUS,2019-03-01,Bioenergy,0.03
Australia,AUS,2019-03-01,Coal,13.22
Australia,AUS,2019-03-01,Gas,2.4
Australia,AUS,2019-03-01,Hydro,0.81
Australia,AUS,2019-03-01,Other Fossil,0.0
Australia,AUS,2019-03-01,Solar,1.35
Australia,AUS,2019-03-01,Wind,1.34
Australia,AUS,2019-03-01,Total Generation,19.15
Australia,AUS,2019-03-01,Net Imports,0.0
Australia,AUS,2019-04-01,Demand,17.17
Australia,AUS,2019-04-01,Clean,3.55
Australia,AUS,2019-04-01,Fossil,13.62
Australia,AUS,2019-04-01,Gas and Other Fossil,1.68
Australia,AUS,2019-04-01,"Hydro, Bioenergy and Other Renewables",0.94
Australia,AUS,2019-04-01,Renewables,3.55
Australia,AUS,2019-04-01,Wind and Solar,2.61
Australia,AUS,2019-04-01,Bioenergy,0.02
Australia,AUS,2019-04-01,Coal,11.94
