entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita,generation_ytd_twh,generation_ytd_share_pct,generation_ytd_kwh_per_capita
"Viet Nam","VNM",false,"2019-09","Hydro",false,7.25,37.45,74.61,,,,,51.98,29.34,534.92
"Viet Nam","VNM",false,"2019-09","Other fossil",false,0,0,0,,,,,0.78,0.44,8.03
"Viet Nam","VNM",false,"2019-09","Solar",false,0.61,3.15,6.28,,,,,2.78,1.57,28.61
"Viet Nam","VNM",false,"2019-09","Total generation",true,19.36,100,199.23,,,,,177.18,100,1823.33
"Viet Nam","VNM",false,"2019-09","Wind",false,0,0,0,,,,,0.73,0.41,7.51
"Viet Nam","VNM",false,"2019-10","Coal",false,9.5,47.6,97.76,,,,,97.56,49.49,1003.97
"Viet Nam","VNM",false,"2019-10","Gas",false,3.33,16.68,34.27,,,,,36.18,18.35,372.32
"Viet Nam","VNM",false,"2019-10","Hydro",false,6.24,31.26,64.21,,,,,58.22,29.53,599.13
"Viet Nam","VNM",false,"2019-10","Other fossil",false,0.39,1.95,4.01,,,,,1.17,0.59,12.04
"Viet Nam","VNM",false,"2019-10","Solar",false,0.45,2.25,4.63,,,,,3.23,1.64,33.24
"Viet Nam","VNM",false,"2019-10","Total generation",true,19.96,100,205.41,,,,,197.14,100,2028.74
"Viet Nam","VNM",false,"2019-10","Wind",false,0.05,0.25,0.51,,,,,0.78,0.4,8.03
"Viet Nam","VNM",false,"2019-11","Coal",false,11.03,48.36,113.51,,,,,108.59,49.37,1117.48
"Viet Nam","VNM",false,"2019-11","Gas",false,4.31,18.9,44.35,,,,,40.49,18.41,416.68
"Viet Nam","VNM",false,"2019-11","Hydro",false,6.8,29.81,69.98,,,,,65.02,29.56,669.11
"Viet Nam","VNM",false,"2019-11","Other fossil",false,0,0,0,,,,,1.17,0.53,12.04
