entity,entity code,date,series,generation_TWh,precipitation,solar,humidity,temperature
Argentina,ARG,01/08/2018,Gas,7.28,6128.79,11.12195221,5.401615329,9.100758305
Argentina,ARG,01/08/2018,Hydro,3.51,6128.79,11.12195221,5.401615329,9.100758305
Argentina,ARG,01/08/2018,Nuclear,0.66,6128.79,11.12195221,5.401615329,9.100758305
Argentina,ARG,01/08/2018,Other Fossil,0.18,6128.79,11.12195221,5.401615329,9.100758305
Argentina,ARG,01/08/2018,Solar,0.01,6128.79,11.12195221,5.401615329,9.100758305
Argentina,ARG,01/08/2018,Wind,0.14,6128.79,11.12195221,5.401615329,9.100758305
Argentina,ARG,01/08/2018,Total Generation,12.09,6128.79,11.12195221,5.401615329,9.100758305
Argentina,ARG,01/09/2018,Bioenergy,0.04,9164.57,14.83363457,6.537045113,11.5886393
Argentina,ARG,01/09/2018,Coal,0.05,9164.57,14.83363457,6.537045113,11.5886393
Argentina,ARG,01/09/2018,Gas,6.66,9164.57,14.83363457,6.537045113,11.5886393
Argentina,ARG,01/09/2018,Hydro,2.89,9164.57,14.83363457,6.537045113,11.5886393
Argentina,ARG,01/09/2018,Nuclear,0.31,9164.57,14.83363457,6.537045113,11.5886393
Argentina,ARG,01/09/2018,Other Fossil,0.12,9164.57,14.83363457,6.537045113,11.5886393
Argentina,ARG,01/09/2018,Solar,0.01,9164.57,14.83363457,6.537045113,11.5886393
Argentina,ARG,01/09/2018,Wind,0.15,9164.57,14.83363457,6.537045113,11.5886393
Argentina,ARG,01/09/2018,Total Generation,10.23,9164.57,14.83363457,6.537045113,11.5886393
Argentina,ARG,01/10/2018,Bioenergy,0.04,9044.45,18.87402389,7.206286684,12.7768416
Argentina,ARG,01/10/2018,Coal,0.04,9044.45,18.87402389,7.206286684,12.7768416
Argentina,ARG,01/10/2018,Gas,5.98,9044.45,18.87402389,7.206286684,12.7768416
Argentina,ARG,01/10/2018,Hydro,3.59,9044.45,18.87402389,7.206286684,12.7768416
Argentina,ARG,01/10/2018,Nuclear,0.4,9044.45,18.87402389,7.206286684,12.7768416
Argentina,ARG,01/10/2018,Other Fossil,0.11,9044.45,18.87402389,7.206286684,12.7768416
Argentina,ARG,01/10/2018,Solar,0.01,9044.45,18.87402389,7.206286684,12.7768416
Argentina,ARG,01/10/2018,Wind,0.19,9044.45,18.87402389,7.206286684,12.7768416
Argentina,ARG,01/10/2018,Total Generation,10.36,9044.45,18.87402389,7.206286684,12.7768416
Argentina,ARG,01/11/2018,Bioenergy,0.04,11315.31,23.56134074,8.295639098,15.13297512
Argentina,ARG,01/11/2018,Coal,0,11315.31,23.56134074,8.295639098,15.13297512
Argentina,ARG,01/11/2018,Gas,5.58,11315.31,23.56134074,8.295639098,15.13297512
Argentina,ARG,01/11/2018,Hydro,4.03,11315.31,23.56134074,8.295639098,15.13297512
Argentina,ARG,01/11/2018,Nuclear,0.38,11315.31,23.56134074,8.295639098,15.13297512
Argentina,ARG,01/11/2018,Other Fossil,0.11,11315.31,23.56134074,8.295639098,15.13297512
Argentina,ARG,01/11/2018,Solar,0.02,11315.31,23.56134074,8.295639098,15.13297512
Argentina,ARG,01/11/2018,Wind,0.22,11315.31,23.56134074,8.295639098,15.13297512
Argentina,ARG,01/11/2018,Total Generation,10.38,11315.31,23.56134074,8.295639098,15.13297512
Argentina,ARG,01/12/2018,Bioenergy,0.03,8960.59,26.09601195,8.793570216,16.99362301
Argentina,ARG,01/12/2018,Coal,0,8960.59,26.09601195,8.793570216,16.99362301
Argentina,ARG,01/12/2018,Gas,6.44,8960.59,26.09601195,8.793570216,16.99362301
Argentina,ARG,01/12/2018,Hydro,3.93,8960.59,26.09601195,8.793570216,16.99362301
Argentina,ARG,01/12/2018,Nuclear,0.21,8960.59,26.09601195,8.793570216,16.99362301
Argentina,ARG,01/12/2018,Other Fossil,0.17,8960.59,26.09601195,8.793570216,16.99362301
Argentina,ARG,01/12/2018,Solar,0.04,8960.59,26.09601195,8.793570216,16.99362301
Argentina,ARG,01/12/2018,Wind,0.26,8960.59,26.09601195,8.793570216,16.99362301
Argentina,ARG,01/12/2018,Total Generation,11.08,8960.59,26.09601195,8.793570216,16.99362301
Argentina,ARG,01/01/2019,Bioenergy,0.02,12067.92,24.58928315,9.614862964,17.86998796
Argentina,ARG,01/01/2019,Coal,0.01,12067.92,24.58928315,9.614862964,17.86998796
Argentina,ARG,01/01/2019,Gas,7.35,12067.92,24.58928315,9.614862964,17.86998796
Argentina,ARG,01/01/2019,Hydro,3.61,12067.92,24.58928315,9.614862964,17.86998796
Argentina,ARG,01/01/2019,Nuclear,0.2,12067.92,24.58928315,9.614862964,17.86998796
Argentina,ARG,01/01/2019,Other Fossil,0.2,12067.92,24.58928315,9.614862964,17.86998796
Argentina,ARG,01/01/2019,Solar,0.04,12067.92,24.58928315,9.614862964,17.86998796
Argentina,ARG,01/01/2019,Wind,0.29,12067.92,24.58928315,9.614862964,17.86998796
Argentina,ARG,01/01/2019,Total Generation,11.72,12067.92,24.58928315,9.614862964,17.86998796
Argentina,ARG,01/02/2019,Bioenergy,0.03,7900.06,22.31780423,9.106157358,17.65156983
Argentina,ARG,01/02/2019,Coal,0.12,7900.06,22.31780423,9.106157358,17.65156983
Argentina,ARG,01/02/2019,Gas,7.32,7900.06,22.31780423,9.106157358,17.65156983
Argentina,ARG,01/02/2019,Hydro,2.72,7900.06,22.31780423,9.106157358,17.65156983
Argentina,ARG,01/02/2019,Nuclear,0.3,7900.06,22.31780423,9.106157358,17.65156983
Argentina,ARG,01/02/2019,Other Fossil,0.21,7900.06,22.31780423,9.106157358,17.65156983
Argentina,ARG,01/02/2019,Solar,0.04,7900.06,22.31780423,9.106157358,17.65156983
Argentina,ARG,01/02/2019,Wind,0.23,7900.06,22.31780423,9.106157358,17.65156983
Argentina,ARG,01/02/2019,Total Generation,10.97,7900.06,22.31780423,9.106157358,17.65156983
Argentina,ARG,01/03/2019,Bioenergy,0.04,11156.11,17.09109677,8.802102838,15.83781897
Argentina,ARG,01/03/2019,Coal,0,11156.11,17.09109677,8.802102838,15.83781897
Argentina,ARG,01/03/2019,Gas,6.14,11156.11,17.09109677,8.802102838,15.83781897
Argentina,ARG,01/03/2019,Hydro,3.07,11156.11,17.09109677,8.802102838,15.83781897
Argentina,ARG,01/03/2019,Nuclear,0.53,11156.11,17.09109677,8.802102838,15.83781897
Argentina,ARG,01/03/2019,Other Fossil,0.09,11156.11,17.09109677,8.802102838,15.83781897
Argentina,ARG,01/03/2019,Solar,0.05,11156.11,17.09109677,8.802102838,15.83781897
Argentina,ARG,01/03/2019,Wind,0.31,11156.11,17.09109677,8.802102838,15.83781897
Argentina,ARG,01/03/2019,Total Generation,10.23,11156.11,17.09109677,8.802102838,15.83781897
Argentina,ARG,01/04/2019,Bioenergy,0.03,9470.97,12.52337284,8.127804511,14.09147512
Argentina,ARG,01/04/2019,Coal,0,9470.97,12.52337284,8.127804511,14.09147512
Argentina,ARG,01/04/2019,Gas,5.73,9470.97,12.52337284,8.127804511,14.09147512
Argentina,ARG,01/04/2019,Hydro,2.86,9470.97,12.52337284,8.127804511,14.09147512
Argentina,ARG,01/04/2019,Nuclear,0.64,9470.97,12.52337284,8.127804511,14.09147512
Argentina,ARG,01/04/2019,Other Fossil,0.1,9470.97,12.52337284,8.127804511,14.09147512
Argentina,ARG,01/04/2019,Solar,0.05,9470.97,12.52337284,8.127804511,14.09147512
Argentina,ARG,01/04/2019,Wind,0.33,9470.97,12.52337284,8.127804511,14.09147512
Argentina,ARG,01/04/2019,Total Generation,9.74,9470.97,12.52337284,8.127804511,14.09147512
Argentina,ARG,01/05/2019,Bioenergy,0.04,8752.59,8.608427718,7.179252971,11.30004333
Argentina,ARG,01/05/2019,Coal,0.08,8752.59,8.608427718,7.179252971,11.30004333
Argentina,ARG,01/05/2019,Gas,5.81,8752.59,8.608427718,7.179252971,11.30004333
Argentina,ARG,01/05/2019,Hydro,3.13,8752.59,8.608427718,7.179252971,11.30004333
Argentina,ARG,01/05/2019,Nuclear,0.84,8752.59,8.608427718,7.179252971,11.30004333
Argentina,ARG,01/05/2019,Other Fossil,0.18,8752.59,8.608427718,7.179252971,11.30004333
Argentina,ARG,01/05/2019,Solar,0.04,8752.59,8.608427718,7.179252971,11.30004333
Argentina,ARG,01/05/2019,Wind,0.33,8752.59,8.608427718,7.179252971,11.30004333
Argentina,ARG,01/05/2019,Total Generation,10.45,8752.59,8.608427718,7.179252971,11.30004333
Argentina,ARG,01/06/2019,Bioenergy,0.06,7738.56,7.290007407,6.411794486,9.729238806
Argentina,ARG,01/06/2019,Coal,0.14,7738.56,7.290007407,6.411794486,9.729238806
Argentina,ARG,01/06/2019,Gas,6.32,7738.56,7.290007407,6.411794486,9.729238806
Argentina,ARG,01/06/2019,Hydro,2.97,7738.56,7.290007407,6.411794486,9.729238806
Argentina,ARG,01/06/2019,Nuclear,0.74,7738.56,7.290007407,6.411794486,9.729238806
Argentina,ARG,01/06/2019,Other Fossil,0.17,7738.56,7.290007407,6.411794486,9.729238806
Argentina,ARG,01/06/2019,Solar,0.04,7738.56,7.290007407,6.411794486,9.729238806
Argentina,ARG,01/06/2019,Wind,0.41,7738.56,7.290007407,6.411794486,9.729238806
Argentina,ARG,01/06/2019,Total Generation,10.85,7738.56,7.290007407,6.411794486,9.729238806
Argentina,ARG,01/07/2019,Bioenergy,0.06,6192.29,8.054031063,5.625474169,8.406711603
Argentina,ARG,01/07/2019,Coal,0.3,6192.29,8.054031063,5.625474169,8.406711603
Argentina,ARG,01/07/2019,Gas,7.38,6192.29,8.054031063,5.625474169,8.406711603
Argentina,ARG,01/07/2019,Hydro,3.18,6192.29,8.054031063,5.625474169,8.406711603
Argentina,ARG,01/07/2019,Nuclear,0.74,6192.29,8.054031063,5.625474169,8.406711603
