date,value
2019-01-31,3.6128172043010753
2019-02-28,8.05607142857143
2019-03-31,11.201311827956989
2019-04-30,15.8734
2019-05-31,15.710021505376345
2019-06-30,23.839422222222222
2019-07-31,19.96668817204301
2019-08-31,17.301290322580645
2019-09-30,12.875711111111112
2019-10-31,8.3447311827957
2019-11-30,3.6919333333333335
2019-12-31,3.1006666666666667
2020-01-31,4.118559139784946
2020-02-29,6.724689655172414
2020-03-31,11.883247311827958
2020-04-30,19.69797777777778
2020-05-31,18.712451612903227
2020-06-30,18.230355555555555
2020-07-31,20.779849462365593
2020-08-31,17.368967741935485
2020-09-30,13.584888888888889
2020-10-31,6.772086021505376
2020-11-30,4.477
2020-12-31,2.5388602150537634
2021-01-31,3.576279569892473
2021-02-28,7.253261904761905
2021-03-31,11.517935483870968
2021-04-30,14.891733333333333
2021-05-31,17.042430107526883
2021-06-30,22.881066666666666
2021-07-31,19.199462365591398
2021-08-31,15.910000000000002
2021-09-30,13.65648888888889
2021-10-31,8.851225806451612
2021-11-30,4.031533333333333
2021-12-31,2.950752688172043
2022-01-31,4.132537634408602
2022-02-28,7.295119047619048
2022-03-31,13.571354838709679
2022-04-30,14.938266666666667
2022-05-31,19.65989247311828
2022-06-30,22.508666666666667
2022-07-31,21.471354838709676
2022-08-31,17.597655913978496
2022-09-30,11.831622222222222
2022-10-31,8.55541935483871
2022-11-30,4.3566666666666665
2022-12-31,2.7691397849462365
2023-01-31,3.2786881720430103
2023-02-28,7.019357142857143
2023-03-31,10.177462365591397
2023-04-30,13.336800000000002
2023-05-31,18.128817204301075
2023-06-30,21.230177777777776
2023-07-31,20.336
2023-08-31,16.4972688172043
2023-09-30,15.012044444444445
2023-10-31,8.058924731182795
2023-11-30,4.355511111111111
2023-12-31,2.8834193548387095
2024-01-31,4.252043010752688
2024-02-29,6.097632183908046
2024-03-31,10.151354838709677
2024-04-30,15.176244444444444
2024-05-31,18.42086021505376
2024-06-30,19.750466666666668
2024-07-31,20.902322580645162
2024-08-31,18.485204301075267
2024-09-30,12.011466666666667
2024-10-31,7.459354838709678
2024-11-30,4.50648888888889
2024-12-31,3.108537634408602
2025-01-31,3.811763440860215
2025-02-28,6.98352380952381
2025-03-31,11.512387096774194
2025-04-30,16.574244444444442
2025-05-31,18.414817204301077
2025-06-30,22.942400000000003
2025-07-31,18.538258064516132
2025-08-31,18.562494623655912
2025-09-30,12.421177777777778
2025-10-31,7.518193548387097
2025-11-30,4.511444444444445
2025-12-31,3.070774193548387
2026-01-31,3.4307956989247312
2026-02-28,5.800333333333334
2026-03-31,11.166967741935483
2026-04-30,16.18888888888889
2026-05-31,
