Date;Country;Region;Export;Import
12/2019;Ai-len;EU;10,628.54;367,740.52
01/2020;Ai-len;EU;9,093.57;297,969.63
02/2020;Ai-len;EU;10,368.72;326,813.62
03/2020;Ai-len;EU;11,531.82;353,726.79
04/2020;Ai-len;EU;11,860.69;348,775.20
05/2020;Ai-len;EU;11,026.66;363,915.36
06/2020;Ai-len;EU;9,530.92;298,662.79
07/2020;Ai-len;EU;16,070.83;202,664.86
08/2020;Ai-len;EU;17,869.99;337,583.41
09/2020;Ai-len;EU;14,226.21;350,122.03
10/2020;Ai-len;EU;15,439.40;374,065.09
11/2020;Ai-len;EU;20,942.66;386,237.79
12/2020;Ai-len;EU;24,618.52;420,044.64
01/2021;Ai-len;EU;13,648.06;325,291.95
02/2021;Ai-len;EU;9,523.63;352,470.80
03/2021;Ai-len;EU;19,480.47;434,187.80
04/2021;Ai-len;EU;19,231.73;374,788.69
05/2021;Ai-len;EU;22,883.45;379,712.01
06/2021;Ai-len;EU;27,817.88;396,217.76
07/2021;Ai-len;EU;20,205.95;332,168.17
08/2021;Ai-len;EU;12,450.92;360,298.34
09/2021;Ai-len;EU;20,051.85;286,746.30
10/2021;Ai-len;EU;52,963.41;348,494.48
11/2021;Ai-len;EU;56,926.90;465,484.33
12/2021;Ai-len;EU;68,695.27;382,435.76
01/2022;Ai-len;EU;43,332.28;320,938.86
02/2022;Ai-len;EU;13,162.31;395,565.19
03/2022;Ai-len;EU;37,944.64;383,610.27
04/2022;Ai-len;EU;39,695.64;450,423.87
05/2022;Ai-len;EU;26,947.81;306,845.04
06/2022;Ai-len;EU;43,364.19;155,991.07
07/2022;Ai-len;EU;20,463.54;210,371.74
08/2022;Ai-len;EU;77,080.28;207,066.66
09/2022;Ai-len;EU;62,271.03;215,701.56
10/2022;Ai-len;EU;43,666.22;300,722.79
11/2022;Ai-len;EU;19,630.92;178,239.98
12/2022;Ai-len;EU;73,994.50;221,720.01
01/2023;Ai-len;EU;73,715.25;208,736.34
02/2023;Ai-len;EU;59,520.53;149,403.96
03/2023;Ai-len;EU;15,501.08;252,554.63
04/2023;Ai-len;EU;16,013.65;195,266.20
05/2023;Ai-len;EU;19,804.79;169,438.85
06/2023;Ai-len;EU;53,677.70;373,044.86
07/2023;Ai-len;EU;38,696.86;287,904.40
08/2023;Ai-len;EU;22,455.43;252,902.18
09/2023;Ai-len;EU;20,864.18;408,818.79
10/2023;Ai-len;EU;19,777.15;225,680.44
11/2023;Ai-len;EU;14,994.26;287,501.94
12/2023;Ai-len;EU;38,004.78;293,585.03
01/2024;Ai-len;EU;27,113.68;419,863.23
02/2024;Ai-len;EU;37,009.48;265,680.76
03/2024;Ai-len;EU;39,118.19;333,044.95
04/2024;Ai-len;EU;82,064.16;243,154.57
05/2024;Ai-len;EU;121,221.33;247,607.76
06/2024;Ai-len;EU;99,669.29;267,044.62
