date,solar_vietnam
2018-01-31,96.51471086905163
2018-02-28,114.76718126452612
2018-03-31,147.8820749378147
2018-04-30,152.5505121780117
2018-05-31,173.45042868072736
2018-06-30,141.39330390816292
2018-07-31,140.56173696786058
2018-08-31,137.90419737803063
2018-09-30,147.69705244384454
2018-10-31,137.68110465831637
2018-11-30,116.73173216247076
2018-12-31,98.3471531955264
2019-01-31,104.67751708252457
2019-02-28,133.41338573203325
2019-03-31,146.05923719066823
2019-04-30,164.98063979277944
2019-05-31,154.61966276470486
2019-06-30,158.27061880839554
2019-07-31,153.15803654731056
2019-08-31,146.7735904330213
2019-09-30,144.24065863399704
2019-10-31,139.03888670280352
2019-11-30,109.8488928474813
2019-12-31,120.67397475518976
2020-01-31,118.82779312475195
2020-02-29,123.61589299632861
2020-03-31,146.891727959575
2020-04-30,139.16404693904067
2020-05-31,179.36087800490816
2020-06-30,161.68616124952925
2020-07-31,169.02783247617552
2020-08-31,150.63326736148318
2020-09-30,141.978505426784
2020-10-31,108.4802975124299
2020-11-30,110.54721793963567
2020-12-31,92.74091494742903
2021-01-31,105.74174549675804
2021-02-28,123.02798621832301
2021-03-31,146.2962734861526
2021-04-30,144.28131108942307
2021-05-31,173.52818204641315
2021-06-30,159.83319207661575
2021-07-31,157.8720398425364
2021-08-31,164.43430686579674
2021-09-30,140.75812555144108
2021-10-31,110.65854221738236
2021-11-30,96.39748119765649
2021-12-31,106.68706035406579
2022-01-31,112.47400321083504
2022-02-28,100.03085329110999
2022-03-31,139.24999929827393
2022-04-30,148.63684377498856
2022-05-31,140.43343491478552
2022-06-30,158.318882321171
2022-07-31,158.7436064497998
2022-08-31,150.3274608066461
2022-09-30,135.2933325042315
2022-10-31,125.80164015347596
2022-11-30,113.60573012107265
2022-12-31,99.07548460558267
2023-01-31,103.1897331696077
2023-02-28,112.51413199129249
2023-03-31,148.65289046632515
2023-04-30,147.2479608110822
2023-05-31,167.6728693195829
2023-06-30,153.94503923543334
2023-07-31,158.7729733933505
2023-08-31,149.72317219054804
2023-09-30,132.70794004884854
2023-10-31,127.61220007420162
2023-11-30,113.57800041797731
2023-12-31,104.82629154492578
2024-01-31,107.04426767898316
2024-02-29,127.5792800895869
2024-03-31,147.87976859695144
2024-04-30,167.61654801281517
2024-05-31,146.94081346295565
2024-06-30,142.57981268092368
2024-07-31,138.44379721987062
2024-08-31,161.18790359867648
2024-09-30,127.08657554210062
2024-10-31,130.49969639440212
2024-11-30,116.82075551477207
2024-12-31,84.86137263582546
2025-01-31,116.73956446421225
2025-02-28,97.06526690443869
2025-03-31,141.2091314160346
2025-04-30,152.30885049285428
2025-05-31,151.68553041879179
2025-06-30,140.10955402888013
2025-07-31,144.49945850378094
2025-08-31,147.51188717352605
2025-09-30,135.64105985532413
2025-10-31,122.86494348292153
2025-11-30,102.06653031725804
2025-12-31,126.22911004649671
