entity,date,series,generation_TWh,IPI_Value,CPI_Value,GDP_trillion,Oil_Price,FDI_disbursed,FDI_registered,gas_price,castlecoal_price,castlecoal_vol,humidity,precipitation,solar,temperature,total_generation_TWh,month,year,time_idx,gen_lag_1,gen_lag_2,gen_lag_3,gen_lag_12,roll_mean_6,roll_std_6,yoy_change,precip_roll6,coal_ratio
Viet Nam,2020-08-01,Coal,8.0,152.36,100.07,8044.4,44.26,1.23,0.721,48.35,51.95,160.0,79.11827956989248,154.13333333333333,633.69,29.253763440860222,21.32,8,2020,19,11.1,11.68,12.76,8.99,11.638333333333334,0.9575054394971736,-0.11012234592632418,114.02777777777779,0.4857767839922632
Viet Nam,2020-09-01,Coal,8.42,157.33,100.12,8044.4,41.09,2.41,1.67,40.37,58.6,500.0,84.76344086021506,306.03333333333336,544.7966666666667,28.03010752688172,21.12,9,2020,20,8.0,11.1,11.68,8.46,11.266666666666666,1.7325895840234855,-0.0047281318288261345,155.45555555555555,0.3752345039758675
Viet Nam,2020-10-01,Coal,6.45,160.97,100.09,8044.4,40.47,2.04,1.613,52.56,58.2,620.0,84.66666666666667,363.9333333333334,516.8766666666667,27.852222222222224,20.05,10,2020,21,8.42,8.0,11.1,9.5,10.563333333333333,1.9109543863385836,-0.3210525977839371,204.28333333333333,0.398674223547622
Viet Nam,2020-11-01,Coal,10.0,156.86,99.99,8044.4,43.23,1.4,3.61,49.66,70.3,290.0,83.87096774193547,505.8,372.7166666666666,25.21720430107527,23.22,11,2020,22,6.45,8.42,8.0,11.03,9.735,2.4628256129900885,-0.0933816778439095,267.78888888888895,0.32169574455382827
Viet Nam,2020-12-01,Coal,8.33,159.49,100.1,8044.4,49.87,2.78,2.099,56.67,80.5,580.0,80.81111111111112,260.6333333333333,411.17,24.59555555555556,21.56,12,2020,23,10.0,6.45,8.42,9.9,9.275,1.9988771848215199,-0.15858584256708663,293.6,0.43066320281381554
Viet Nam,2021-01-01,Coal,9.23,154.1,100.06,8479.7,54.55,1.51,2.017,51.54,86.2,720.0,75.39784946236558,143.3,358.45666666666665,21.97311827956989,18.39,1,2021,24,8.33,10.0,6.45,11.05,8.716666666666667,1.625800315741964,-0.16470586744743285,288.97222222222223,0.3863636184432459
Viet Nam,2021-02-01,Coal,8.5,119.65,101.52,8479.7,61.96,0.99,3.441,101.72,85.1,560.0,71.0967741935484,59.63333333333333,412.0966666666666,20.90215053763441,18.37,2,2021,25,9.23,8.33,10.0,10.23,8.405,1.2013783750342781,-0.16911044290220503,273.22222222222223,0.5019031809731821
Viet Nam,2021-03-01,Coal,12.02,143.6,99.73,8479.7,65.19,1.6,4.673,60.22,96.25,550.0,76.8690476190476,41.7,456.31,22.7797619047619,22.09,3,2021,26,8.5,9.23,8.33,12.64,8.488333333333333,1.1848952133698023,-0.049050629030804746,229.1666666666667,0.4627109165644575
Viet Nam,2021-04-01,Coal,11.73,142.93,99.96,8479.7,64.77,1.4,2.119,55.92,93.3,720.0,78.33333333333333,47.86666666666667,537.9499999999999,25.32795698924732,21.08,4,2021,27,12.02,8.5,9.23,11.42,9.088333333333333,1.8616059375352956,0.027145356642263037,176.4888888888889,0.544137594199294
Viet Nam,2021-05-01,Coal,12.65,145.71,100.16,8479.7,68.04,0.0,1.747,58.25,118.9,120.0,83.93333333333334,138.46666666666667,531.5633333333334,26.392222222222227,22.82,5,2021,28,11.73,12.02,8.5,12.76,9.968333333333334,1.5936802272308788,-0.008620688979569786,115.26666666666667,0.5564515865060916
Viet Nam,2021-06-01,Coal,12.54,143.77,100.19,8479.7,73.07,4.24,1.274,71.68,134.7,350.0,81.44086021505376,137.93333333333334,634.6866666666666,28.76236559139785,24.74,6,2021,29,12.65,11.73,12.02,11.68,10.41,1.9348901777620349,0.07363013068235179,94.81666666666668,0.554338275445299
Viet Nam,2021-07-01,Coal,10.19,143.25,100.62,8479.7,74.39,1.26,1.429,80.65,149.75,440.0,77.57777777777778,143.66666666666666,603.4266666666667,29.43111111111111,22.74,7,2021,30,12.54,12.65,11.73,11.1,11.111666666666666,1.787483333255632,-0.08198197459621853,94.87777777777778,0.5068714427295293
Viet Nam,2021-08-01,Coal,8.37,137.71,100.25,8479.7,70.02,1.08,2.422,89.63,174.25,630.0,80.83870967741935,202.63333333333333,589.6633333333333,28.736559139784948,21.6,8,2021,31,10.19,12.54,12.65,8.0,11.271666666666667,1.6205359195854514,0.04624999421875063,118.71111111111111,0.4481090392212383
Viet Nam,2021-09-01,Coal,7.44,141.73,99.38,8479.7,74.6,1.7,3.028,108.39,218.0,300.0,80.19354838709677,212.66666666666663,603.97,28.861290322580647,18.77,9,2021,32,8.37,10.19,12.54,8.42,11.25,1.6652567369628022,-0.11638953487060151,147.20555555555555,0.38749998206018593
Viet Nam,2021-10-01,Coal,8.11,151.2,99.8,8479.7,83.65,1.87,1.59,115.79,223.45,490.0,86.7,348.5,493.9433333333333,27.126666666666665,20.94,10,2021,33,7.44,8.37,10.19,6.45,10.486666666666666,2.204202047605134,0.25736430118382914,197.3111111111111,0.3963771765382431
Viet Nam,2021-11-01,Coal,7.54,160.06,100.32,8479.7,80.77,1.95,2.723,101.01,152.0,790.0,84.53763440860216,470.5333333333333,414.00666666666666,25.35806451612904,19.91,11,2021,34,8.11,7.44,8.37,10.0,9.883333333333333,2.2895909387195488,-0.24599997540000249,252.65555555555554,0.3872970206639436
Viet Nam,2021-12-01,Coal,9.38,165.71,99.82,8479.7,74.31,2.64,4.69,82.67,169.6,400.0,81.74444444444444,202.13333333333333,393.19,24.01555555555555,22.41,12,2021,35,7.54,8.11,7.44,8.33,9.031666666666666,1.9847359186215847,0.12605040503596587,263.35555555555555,0.3787041497386162
Viet Nam,2022-01-01,Coal,9.69,159.65,100.19,9513.3,85.53,1.61,2.1,87.66,222.75,1860.0,75.5483870967742,142.5,400.7866666666667,22.10537634408602,20.66,1,2022,36,9.38,7.54,8.11,9.23,8.505,1.0811614125559605,0.04983748105769426,263.1611111111111,0.4185631227771922
Viet Nam,2022-02-01,Coal,7.58,141.44,101.0,9513.3,95.76,1.07,2.896,89.14,274.5,530.0,78.86021505376344,85.2,434.9766666666667,22.60430107526882,18.38,2,2022,37,9.69,9.38,7.54,8.5,8.421666666666667,0.9346532333794534,-0.10823528138408454,243.58888888888885,0.46902224254490593
Viet Nam,2022-03-01,Coal,11.1,165.37,100.7,9513.3,115.59,1.74,3.914,112.66,259.0,1320.0,76.44047619047619,67.69999999999999,393.1233333333333,21.72023809523809,23.18,3,2022,38,7.58,9.69,9.38,12.02,8.29,0.9969553650991605,-0.07653909512985897,219.42777777777778,0.4124047653751487
