entity,entity code,date,series,generation_TWh,precipitation,solar,humidity,temperature,time_idx,month_num,month,month_sin,month_cos,target_lag_1,target_lag_3,target_lag_6,target_lag_12,target_roll_mean_3,target_roll_std_3,target_roll_mean_6,target_roll_std_6,target_roll_mean_12,target_roll_std_12,sample_weight
South Africa,ZAF,2020-08-01,Wind,0.63,855.06,17.10539171,5.691108504,15.60133138,31,8,8,-0.8660254037844385,-0.5000000000000004,0.58,0.4,0.52,0.48,0.5100000000000001,0.0964365076099291,0.4933333333333333,0.0686051504383355,0.5291666666666667,0.0696038574340314,1.2767145334803705
South Africa,ZAF,2020-09-01,Wind,0.53,865.98,20.55807143,6.705030303,19.06103636,32,9,9,-1.0,-1.8369701987210294e-16,0.63,0.55,0.47,0.54,0.5866666666666667,0.0404145188432742,0.5116666666666667,0.0888631907297203,0.5416666666666666,0.0733402200623087,1.2369316876852985
South Africa,ZAF,2020-10-01,Wind,0.58,2176.69,23.03808756,8.015366569,21.86102053,33,10,10,-0.8660254037844386,0.5000000000000001,0.53,0.58,0.44,0.56,0.58,0.0500000000000002,0.5216666666666666,0.0865832932306611,0.5408333333333334,0.0734176512505781,1.2569805089976536
South Africa,ZAF,2020-11-01,Wind,0.65,3588.47,25.03885119,9.629533333,23.08135758,34,11,11,-0.5000000000000004,0.8660254037844384,0.58,0.63,0.4,0.58,0.5800000000000001,0.0500000000000002,0.545,0.0786765530510837,0.5425,0.0741160024433442,1.284523257866513
South Africa,ZAF,2020-12-01,Wind,0.67,4970.97,25.60857143,11.18419355,23.8861173,35,12,12,-2.4492935982947064e-16,1.0,0.65,0.53,0.55,0.64,0.5866666666666667,0.0602771377334173,0.5866666666666667,0.045898438608156,0.5483333333333333,0.0798673142079278,1.2922847983320085
South Africa,ZAF,2021-01-01,Wind,0.69,7771.408000000014,24.08571429,12.9602092712,23.71357185,36,1,1,0.4999999999999999,0.8660254037844387,0.67,0.58,0.58,0.59,0.6333333333333333,0.0472581562625271,0.6066666666666666,0.0524086506854228,0.5508333333333333,0.0833893750953193,1.3
South Africa,ZAF,2021-02-01,Wind,0.58,5558.11,22.97697066,12.63376623,22.90805844,37,2,2,0.8660254037844386,0.5000000000000001,0.69,0.65,0.63,0.52,0.6699999999999999,0.0200000000000038,0.625,0.059916608715781,0.5591666666666667,0.0921913359499818,1.2569805089976536
South Africa,ZAF,2021-03-01,Wind,0.57,2887.74,21.58113479,11.28341935,22.26204692,38,3,3,1.0,6.123233995736766e-17,0.58,0.67,0.53,0.47,0.6466666666666666,0.0585946527708242,0.6166666666666667,0.0625033332444492,0.5641666666666666,0.0914984682766311,1.2529964086141667
South Africa,ZAF,2021-04-01,Wind,0.44,1562.64,18.21950595,9.283709091,20.98164242,39,4,4,0.8660254037844387,-0.4999999999999998,0.57,0.69,0.58,0.44,0.6133333333333333,0.0665832811847945,0.6233333333333333,0.0527888877195444,0.5725,0.0865631666367502,1.2
South Africa,ZAF,2021-05-01,Wind,0.67,1368.96,15.11531106,7.40801173,17.63359531,40,5,5,0.4999999999999999,-0.8660254037844387,0.44,0.58,0.65,0.4,0.53,0.0781024967590663,0.6,0.0920869154657707,0.5725,0.0865631666367502,1.2922847983320085
South Africa,ZAF,2021-06-01,Wind,0.73,1311.89,13.06971429,6.748587879,15.66449697,41,6,6,1.2246467991473532e-16,-1.0,0.67,0.57,0.67,0.55,0.5599999999999999,0.1153256259467079,0.6033333333333334,0.0945868207873944,0.595,0.0714142842854282,1.3152946437965904
South Africa,ZAF,2021-07-01,Wind,0.79,914.17,14.50334677,5.584293255,14.189556131,42,7,7,-0.4999999999999997,-0.8660254037844388,0.73,0.44,0.69,0.58,0.6133333333333333,0.153079500042734,0.6133333333333333,0.1055777754390888,0.61,0.0795441558335537,1.3379088160259651
South Africa,ZAF,2021-08-01,Wind,0.73,1150.69,16.54604839,6.166357771,16.14428152,43,8,8,-0.8660254037844385,-0.5000000000000004,0.79,0.67,0.58,0.63,0.73,0.0600000000000016,0.63,0.1260158720161869,0.6275,0.0941106698617012,1.3152946437965904
South Africa,ZAF,2021-09-01,Wind,0.8,1410.97,20.30275,6.807981818,19.29529697,44,9,9,-1.0,-1.8369701987210294e-16,0.73,0.73,0.57,0.53,0.75,0.0346410161513807,0.6549999999999999,0.1289573572930215,0.6358333333333334,0.0986691748247952,1.3416407864998738
South Africa,ZAF,2021-10-01,Wind,0.83,2808.35,23.0688076,7.532351906,20.52975953,45,10,10,-0.8660254037844386,0.5000000000000001,0.8,0.79,0.44,0.58,0.7733333333333334,0.037859388972005,0.6933333333333334,0.132765457354941,0.6583333333333333,0.1030298573965403,1.3527749258468684
South Africa,ZAF,2021-11-01,Wind,0.74,3004.97,25.75055357,8.690648485,22.79724242,46,11,11,-0.5000000000000004,0.8660254037844384,0.83,0.73,0.67,0.65,0.7866666666666666,0.0513160143944712,0.7583333333333333,0.0587934236685249,0.6791666666666667,0.1107378832553643,1.3190905958272918
South Africa,ZAF,2021-12-01,Wind,0.79,5583.09,24.81669931,10.64001173,23.19997654,47,12,12,-2.4492935982947064e-16,1.0,0.74,0.8,0.73,0.67,0.79,0.0458257569495611,0.77,0.0424264068711929,0.6866666666666666,0.1116270847984751,1.3379088160259651
South Africa,ZAF,2022-01-01,Wind,0.74,4652.5,25.16434908,12.17039883,24.32066862,48,1,1,0.4999999999999999,0.8660254037844387,0.79,0.83,0.79,0.69,0.7866666666666666,0.0450924975282317,0.7799999999999999,0.0379473319220206,0.6966666666666667,0.1153124871684311,1.3190905958272918
South Africa,ZAF,2022-02-01,Wind,0.58,2844.09,24.5625574,11.83349351,24.64895455,49,2,2,0.8660254037844386,0.5000000000000001,0.74,0.74,0.73,0.58,0.7566666666666667,0.028867513459485,0.7716666666666666,0.0407021702943058,0.7008333333333333,0.115951269806315,1.2569805089976536
South Africa,ZAF,2022-03-01,Wind,0.68,4959.68,20.19217742,11.55771261,22.82283284,50,3,3,1.0,6.123233995736766e-17,0.58,0.79,0.8,0.57,0.7033333333333335,0.1096965511460296,0.7466666666666667,0.0889194391945128,0.7008333333333333,0.115951269806315,1.2961481396815722
South Africa,ZAF,2022-04-01,Wind,0.77,5343.21,16.59935119,9.756575758,19.60741818,51,4,4,0.8660254037844387,-0.4999999999999998,0.68,0.74,0.83,0.44,0.6666666666666666,0.0808290376865483,0.7266666666666667,0.08801515021101,0.71,0.1087950533634848,1.3304134695650072
South Africa,ZAF,2022-05-01,Wind,0.65,2014.99,14.71528226,7.897659824,17.32655718,52,5,5,0.4999999999999999,-0.8660254037844387,0.77,0.58,0.74,0.67,0.6766666666666666,0.0950438495292223,0.7166666666666667,0.076594168620507,0.7375000000000002,0.0686393738051528,1.284523257866513
South Africa,ZAF,2022-06-01,Wind,0.82,1298.68,12.934720477,6.859478788,14.71132727,53,6,6,1.2246467991473532e-16,-1.0,0.65,0.68,0.79,0.73,0.7000000000000001,0.0624499799839851,0.7016666666666667,0.0798540335028022,0.7358333333333333,0.0706410044885502,1.349073756323204
South Africa,ZAF,2022-07-01,Wind,0.94,714.19,13.45567972,7.011947214,15.41019355,54,7,7,-0.4999999999999997,-0.8660254037844388,0.82,0.77,0.74,0.79,0.7466666666666666,0.0873689494805421,0.7066666666666667,0.0871014733897576,0.7433333333333333,0.0746304024489807,1.3928388277184118
South Africa,ZAF,2022-08-01,Wind,0.95,974.03,16.90854839,6.281818182,16.28667449,55,8,8,-0.8660254037844385,-0.5000000000000004,0.94,0.65,0.58,0.73,0.8033333333333332,0.1457166199626301,0.7399999999999999,0.1300769003320727,0.7558333333333332,0.0933671475542875,1.396424004376894
South Africa,ZAF,2022-09-01,Wind,0.83,1316.08,19.9832381,7.029666667,19.5557697,56,9,9,-1.0,-1.8369701987210294e-16,0.95,0.82,0.68,0.8,0.9033333333333332,0.072341781380705,0.8016666666666666,0.1267149030961499,0.7741666666666668,0.1082470518879109,1.3527749258468684
South Africa,ZAF,2022-10-01,Wind,0.86,1753.95,22.07805876,8.79913783,23.18579472,57,10,10,-0.8660254037844386,0.5000000000000001,0.83,0.94,0.77,0.83,0.9066666666666666,0.0665832811847969,0.8266666666666667,0.1118332091405173,0.7766666666666667,0.1092397973878255,1.3638181696985856
South Africa,ZAF,2022-11-01,Wind,0.93,4422.21,24.52129762,9.744266667,22.69989091,58,11,11,-0.5000000000000004,0.8660254037844384,0.86,0.95,0.65,0.74,0.88,0.0624499799839869,0.8416666666666667,0.1087044923941356,0.7791666666666667,0.1109019495962188,1.3892443989449803
South Africa,ZAF,2022-12-01,Wind,0.94,4970.33,25.86001152,10.76335484,23.91067449,59,12,12,-2.4492935982947064e-16,1.0,0.93,0.83,0.82,0.79,0.8733333333333334,0.0513160143944724,0.8883333333333333,0.0584522597225009,0.7949999999999999,0.1181293589864318,1.3928388277184118
South Africa,ZAF,2023-01-01,Wind,0.94,3321.43,26.3324424,11.29783578,24.87815249,60,1,1,0.4999999999999999,0.8660254037844387,0.94,0.86,0.94,0.74,0.91,0.0435889894354112,0.9083333333333332,0.0503653319920231,0.8075000000000001,0.1252724303994364,1.3928388277184118
South Africa,ZAF,2023-02-01,Wind,0.78,6555.49,23.07233418,12.23717532,24.09097403,61,2,2,0.8660254037844386,0.5000000000000001,0.94,0.93,0.95,0.58,0.9366666666666666,0.0057735026919322,0.9083333333333332,0.0503653319920231,0.8241666666666667,0.1287321626361086,1.3341664064126333
South Africa,ZAF,2023-03-01,Wind,0.97,3030.04,21.3155818,10.8333783,23.04061584,62,3,3,1.0,6.123233995736766e-17,0.78,0.94,0.83,0.68,0.8866666666666667,0.0923760430703421,0.88,0.0672309452558866,0.8408333333333333,0.1050072147593439,1.40356688476182
South Africa,ZAF,2023-04-01,Wind,0.76,1410.99,18.05008333,8.899,21.18179394,63,4,4,0.8660254037844387,-0.4999999999999998,0.97,0.94,0.86,0.77,0.8966666666666666,0.1021436896402989,0.9033333333333332,0.0706163342766155,0.8650000000000001,0.0977473552304371,1.32664991614216
South Africa,ZAF,2023-05-01,Wind,0.77,2750.33,13.9987788,7.86285044,18.50440469,64,5,5,0.4999999999999999,-0.8660254037844387,0.76,0.78,0.93,0.65,0.8366666666666666,0.1159022576714261,0.8866666666666666,0.09157874571464,0.8641666666666666,0.0986691748247946,1.3304134695650072
South Africa,ZAF,2023-06-01,Wind,1.2,1832.14,12.97947619,6.383327273,15.63367879,65,6,6,1.2246467991473532e-16,-1.0,0.77,0.97,0.94,0.82,0.8333333333333334,0.1184623709594471,0.86,0.0993981891183135,0.8741666666666666,0.0791383521933493,1.4832396974191326
South Africa,ZAF,2023-07-01,Wind,1.04,1031.96,13.76727535,6.06401173,14.60680352,66,7,7,-0.4999999999999997,-0.8660254037844388,1.2,0.76,0.94,0.94,0.91,0.2511971337416102,0.9033333333333332,0.1716585758611165,0.9058333333333334,0.1206390810591148,1.42828568570857
South Africa,ZAF,2023-08-01,Wind,1.1,554.47,16.76300115,6.26743695,16.86997654,67,8,8,-0.8660254037844385,-0.5000000000000004,1.04,0.77,0.78,0.95,1.0033333333333332,0.2173323108360416,0.92,0.180554700852678,0.9141666666666668,0.1265240425110308,1.449137674618944
South Africa,ZAF,2023-09-01,Wind,1.03,1886.43,20.10358929,6.54070303,19.09729091,68,9,9,-1.0,-1.8369701987210294e-16,1.1,1.2,0.97,0.83,1.1133333333333333,0.0808290376865513,0.9733333333333332,0.1781759430076538,0.9266666666666666,0.1373339217404275,1.4247806848775009
South Africa,ZAF,2023-10-01,Wind,1.06,2874.55,23.06164171,7.66111437,21.99609384,69,10,10,-0.8660254037844386,0.5000000000000001,1.03,1.04,0.76,0.86,1.0566666666666666,0.0378593889720092,0.9833333333333334,0.1796292478040998,0.9433333333333334,0.1366703621082043,1.4352700094407325
South Africa,ZAF,2023-11-01,Wind,0.92,1844.01,25.53827976,9.333527273,24.31027273,70,11,11,-0.5000000000000004,0.8660254037844384,1.06,1.1,0.77,0.93,1.0633333333333332,0.0351188458428506,1.0333333333333334,0.143061758225833,0.96,0.1377745193488911,1.3856406460551018
South Africa,ZAF,2023-12-01,Wind,1.04,5861.54,25.51688364,10.45723754,24.3652434,71,12,12,-2.4492935982947064e-16,1.0,0.92,1.03,1.2,0.94,1.0033333333333332,0.0737111479583233,1.0583333333333331,0.0917423929634861,0.9591666666666666,0.1380025252294202,1.42828568570857
South Africa,ZAF,2024-01-01,Wind,0.95,4244.27,26.0330818,11.75715543,24.77052786,72,1,1,0.4999999999999999,0.8660254037844387,1.04,1.06,1.04,0.94,1.0066666666666666,0.0757187779440069,1.031666666666667,0.0601387285088961,0.9675,0.1397481500934637,1.396424004376894
South Africa,ZAF,2024-02-01,Wind,0.88,1912.72,25.24191502,10.76007524,25.49531661,73,2,2,0.8660254037844386,0.5000000000000001,0.95,0.92,1.1,0.78,0.97,0.0624499799839877,1.0166666666666666,0.0683130051063976,0.9683333333333332,0.1395989927896279,1.3711309200802089
South Africa,ZAF,2024-03-01,Wind,0.81,3328.51,21.09679724,10.86208798,24.96795894,74,3,3,1.0,6.123233995736766e-17,0.88,1.04,1.03,0.97,0.9566666666666668,0.0802080627701092,0.98,0.0734846922834955,0.9766666666666668,0.1299883444658386,1.3453624047073711
South Africa,ZAF,2024-04-01,Wind,0.91,2727.7,16.96311905,9.55930303,21.22704242,75,4,4,0.8660254037844387,-0.4999999999999998,0.81,0.95,1.06,0.76,0.88,0.0700000000000026,0.9433333333333334,0.0952190457139047,0.9633333333333334,0.1386515143236533,1.3820274961085257
South Africa,ZAF,2024-05-01,Wind,0.79,507.59,15.27317396,7.764914956,19.74196481,76,5,5,0.4999999999999999,-0.8660254037844387,0.91,0.88,0.92,0.77,0.8666666666666667,0.0513160143944723,0.9183333333333334,0.0762670745909837,0.9758333333333334,0.1247148262188088,1.3379088160259651
South Africa,ZAF,2024-06-01,Wind,0.86,1889.23,13.02033333,6.660478788,15.7046,77,6,6,1.2246467991473532e-16,-1.0,0.79,0.81,1.04,1.2,0.8366666666666668,0.0642910050732889,0.8966666666666668,0.0924481836850604,0.9775,0.1218139415815619,1.3638181696985856
South Africa,ZAF,2024-07-01,Wind,0.97,1210.59,14.44339862,5.4130261584,15.03345455,78,7,7,-0.4999999999999997,-0.8660254037844388,0.86,0.91,0.95,1.04,0.8533333333333334,0.0602771377334199,0.8666666666666666,0.0602218122167263,0.9491666666666668,0.1035249933225018,1.40356688476182
South Africa,ZAF,2024-08-01,Wind,1.08,1068.03,17.27228111,5.74773607,17.25958358,79,8,8,-0.8660254037844385,-0.5000000000000004,0.97,0.79,0.88,1.1,0.8733333333333334,0.0907377172587766,0.8700000000000001,0.0660302960768766,0.9433333333333334,0.0998483698900326,1.4422205101855958
South Africa,ZAF,2024-09-01,Wind,1.0,1403.11,19.39917262,6.659787879,19.26330303,80,9,9,-1.0,-1.8369701987210294e-16,1.08,0.86,0.81,1.03,0.97,0.1100000000000022,0.9033333333333332,0.1087504789261485,0.9416666666666668,0.097125348562222,1.4142135623730951
South Africa,ZAF,2024-10-01,Wind,1.05,1986.61,24.01470046,7.349953079,21.56078592,81,10,10,-0.8660254037844386,0.5000000000000001,1.0,0.97,0.91,1.06,1.0166666666666668,0.056862407030778,0.935,0.1036822067666387,0.9391666666666666,0.0950079741469891,1.4317821063276353
South Africa,ZAF,2024-11-01,Wind,0.91,3529.76,25.54694048,9.249733333,23.71970909,82,11,11,-0.5000000000000004,0.8660254037844384,1.05,1.08,0.79,0.92,1.0433333333333332,0.0404145188432808,0.9583333333333334,0.1123239363032952,0.9383333333333336,0.0938890383119952,1.3820274961085257
South Africa,ZAF,2024-12-01,Wind,0.92,3649.39,26.51728687,10.43558944,25.56357045,83,12,12,-2.4492935982947064e-16,1.0,0.91,1.0,0.86,1.04,0.9866666666666668,0.0709459888459794,0.9783333333333334,0.0832866535926779,0.9375,0.0941106698617005,1.3856406460551018
Thailand,THA,2019-01-01,Bioenergy,1.21,29.42049502,146.330664,69.34692204,24.13262403,12,1,1,0.4999999999999999,0.8660254037844387,1.21,1.21,1.21,1.21,1.21,0.106066017177982,1.21,0.106066017177982,1.21,0.106066017177982,1.4866068747318506
Thailand,THA,2019-02-01,Bioenergy,1.06,13.97155191,158.5758856,61.58617727,27.17439746,13,2,2,0.8660254037844386,0.5000000000000001,1.21,1.21,1.21,1.21,1.21,0.106066017177982,1.21,0.106066017177982,1.21,0.106066017177982,1.4352700094407325
Thailand,THA,2019-03-01,Bioenergy,1.16,22.69841503,197.2827946,58.00494184,28.8277372,14,3,3,1.0,6.123233995736766e-17,1.06,1.21,1.21,1.21,1.135,0.106066017177982,1.135,0.106066017177982,1.135,0.106066017177982,1.469693845669907
Thailand,THA,2019-04-01,Bioenergy,1.04,51.1694335,195.4782163,60.70056306,30.55200497,15,4,4,0.8660254037844387,-0.4999999999999998,1.16,1.21,1.21,1.21,1.143333333333333,0.0763762615825972,1.143333333333333,0.0763762615825972,1.143333333333333,0.0763762615825972,1.42828568570857
Thailand,THA,2019-05-01,Bioenergy,1.08,164.9252942,171.7742798,74.11425694,28.77347032,16,5,5,0.4999999999999999,-0.8660254037844387,1.04,1.06,1.21,1.21,1.086666666666667,0.0642910050732862,1.1175,0.0809835374217088,1.1175,0.0809835374217088,1.4422205101855958
Thailand,THA,2019-06-01,Bioenergy,1.05,172.3598445,151.04162,81.40460275,27.58436642,17,6,6,1.2246467991473532e-16,-1.0,1.08,1.16,1.21,1.21,1.0933333333333335,0.0611010092660777,1.11,0.0721110255092797,1.11,0.0721110255092797,1.4317821063276353
Thailand,THA,2019-07-01,Bioenergy,1.04,177.0531925,145.6800156,81.05816951,26.60566335,18,7,7,-0.4999999999999997,-0.8660254037844388,1.05,1.04,1.21,1.21,1.0566666666666666,0.0208166599946616,1.1,0.0689927532426412,1.1,0.0689927532426412,1.42828568570857
Thailand,THA,2019-08-01,Bioenergy,1.07,337.2701328,115.7283165,85.85016646,26.14532711,19,8,8,-0.8660254037844385,-0.5000000000000004,1.04,1.08,1.06,1.21,1.0566666666666666,0.0208166599946616,1.0716666666666663,0.0457893728573197,1.0914285714285714,0.0669399162006673,1.438749456993816
Thailand,THA,2019-09-01,Bioenergy,0.98,257.5459782,139.9810174,85.98646134,25.81733363,20,9,9,-1.0,-1.8369701987210294e-16,1.07,1.05,1.16,1.21,1.0533333333333337,0.0152752523165198,1.0733333333333333,0.0454606056566193,1.08875,0.06243568119044,1.407124727947029
Thailand,THA,2019-10-01,Bioenergy,0.88,100.1181436,160.7808384,83.1129511,26.03487101,21,10,10,-0.8660254037844386,0.5000000000000001,0.98,1.04,1.04,1.21,1.03,0.0458257569495588,1.0433333333333334,0.0350238014308361,1.0766666666666669,0.0687386354243375,1.3711309200802089
Thailand,THA,2019-11-01,Bioenergy,0.84,52.21772991,138.5542175,77.54611989,24.77224869,22,11,11,-0.5000000000000004,0.8660254037844384,0.88,1.07,1.08,1.21,0.9766666666666668,0.0950438495292223,1.0166666666666668,0.075542482529148,1.057,0.0898208092692209,1.3564659966250536
Thailand,THA,2019-12-01,Bioenergy,1.14,16.02013878,152.451959,68.61948562,23.16860212,23,12,12,-2.4492935982947064e-16,1.0,0.84,0.98,1.05,1.21,0.9,0.0721110255092815,0.9766666666666668,0.0960555394897485,1.0372727272727271,0.1074328542942901,1.4628738838327793
Thailand,THA,2020-01-01,Bioenergy,1.19,4.0951733926000005,159.1895736,62.34457968,25.62997143,24,1,1,0.4999999999999999,0.8660254037844387,1.14,0.88,1.04,1.21,0.9533333333333333,0.1628905563049419,0.9916666666666668,0.1149637624065367,1.0458333333333334,0.106639437812517,1.4798648586948742
Thailand,THA,2020-02-01,Bioenergy,1.09,7.35331282,165.9051984,56.27405221,26.34341037,25,2,2,0.8660254037844386,0.5000000000000001,1.19,0.84,1.07,1.06,1.0566666666666666,0.1892969448600089,1.0166666666666668,0.1409491634124397,1.044166666666667,0.1039631344916712,1.445683229480096
Thailand,THA,2020-03-01,Bioenergy,1.12,31.15474455,194.504255,57.49931343,29.20570915,26,3,3,1.0,6.123233995736766e-17,1.09,1.14,0.98,1.16,1.14,0.0499999999999976,1.02,0.1426884718538956,1.0466666666666666,0.1047363211579295,1.4560219778561037
Thailand,THA,2020-04-01,Bioenergy,1.11,100.6659818,185.114514,63.76456843,28.87086684,27,4,4,0.8660254037844387,-0.4999999999999998,1.12,1.19,0.88,1.04,1.1333333333333335,0.0513160143944667,1.0433333333333332,0.1462418088874267,1.0433333333333332,0.1013843571700677,1.452583904633395
Thailand,THA,2020-05-01,Bioenergy,1.08,150.627475,184.2109356,72.85396365,29.12392013,28,5,5,0.4999999999999999,-0.8660254037844387,1.11,1.09,0.84,1.08,1.106666666666667,0.015275252316514,1.0816666666666668,0.1231936145531359,1.0491666666666666,0.1031731407377761,1.4422205101855958
Thailand,THA,2020-06-01,Bioenergy,0.96,233.4752591,154.843473,84.0003675,26.94627753,29,6,6,1.2246467991473532e-16,-1.0,1.08,1.12,1.14,1.05,1.1033333333333335,0.0208166599946575,1.1216666666666668,0.0397072621401502,1.0491666666666666,0.1031731407377761,1.4
Thailand,THA,2020-07-01,Bioenergy,1.04,196.9915512,163.1095684,84.56543737,26.68161417,30,7,7,-0.4999999999999997,-0.8660254037844388,0.96,1.11,1.19,1.04,1.05,0.0793725393319374,1.0916666666666668,0.075210814825174,1.0416666666666667,0.1063299609990552,1.42828568570857
Thailand,THA,2020-08-01,Bioenergy,1.01,291.1035456,135.36399,86.63012671,26.18352605,31,8,8,-0.8660254037844385,-0.5000000000000004,1.04,1.08,1.09,1.07,1.0266666666666666,0.0611010092660778,1.0666666666666669,0.0592171146432062,1.0416666666666667,0.1063299609990552,1.4177446878757824
Thailand,THA,2020-09-01,Bioenergy,0.84,285.3686165,137.3876631,87.59911983,26.31150787,32,9,9,-1.0,-1.8369701987210294e-16,1.01,0.96,1.12,0.98,1.0033333333333332,0.0404145188432742,1.0533333333333337,0.0618600571181972,1.0366666666666666,0.1062872038251533,1.3564659966250536
Thailand,THA,2020-10-01,Bioenergy,0.88,302.6875558,110.63072196,88.39782029,24.49659352,33,10,10,-0.8660254037844386,0.5000000000000001,0.84,1.04,1.11,0.88,0.9633333333333334,0.10785793124909,1.0066666666666666,0.097091022585338,1.025,0.119886309780255,1.3711309200802089
Thailand,THA,2020-11-01,Bioenergy,0.9,79.9298001,138.3522282,84.89220745,23.98156366,34,11,11,-0.5000000000000004,0.8660254037844384,0.88,1.01,1.08,0.84,0.91,0.0888819441731568,0.9683333333333332,0.0934701378337842,1.025,0.119886309780255,1.378404875209022
Thailand,THA,2020-12-01,Bioenergy,1.08,66.75434793,144.3980733,79.00778215,22.11228422,35,12,12,-2.4492935982947064e-16,1.0,0.9,0.84,0.96,1.14,0.8733333333333334,0.0305505046330426,0.9383333333333334,0.078081154363051,1.03,0.112492423987331,1.4422205101855958
